OBJECTID,town,work
1,板橋市,0.5344
2,三重市,0.5075
3,中和市,0.4895
4,永和市,0.4658
5,新莊市,0.5618
6,新店市,0.4606
7,樹林市,0.5631
8,鶯歌鎮,0.5756
9,三峽鎮,0.5415
10,淡水鎮,0.4437
11,汐止市,0.4894
12,瑞芳鎮,0.4717
13,土城市,0.5409
14,蘆洲市,0.5788
15,五股鄉,0.5264
16,泰山鄉,0.4794
17,林口鄉,0.4566
18,深坑鄉,0.502
19,石碇鄉,0.4284
20,坪林鄉,0.4274
21,三芝鄉,0.5026
22,石門鄉,0.4647
23,八里鄉,0.5627
24,平溪鄉,0.4207
25,雙溪鄉,0.4301
26,貢寮鄉,0.4256
27,金山鄉,0.4995
28,萬里鄉,0.5014
29,烏來鄉,0.4234
30,宜蘭市,0.5087
31,羅東鎮,0.5212
32,蘇澳鎮,0.4645
33,頭城鎮,0.4818
34,礁溪鄉,0.527
35,壯圍鄉,0.5123
36,員山鄉,0.5174
37,冬山鄉,0.5172
38,五結鄉,0.5034
39,三星鄉,0.4942
40,大同鄉,0.4851
41,南澳鄉,0.5723
42,桃園市,0.553
43,中壢市,0.48
44,大溪鎮,0.5147
45,楊梅鎮,0.5232
46,蘆竹鄉,0.5746
47,大園鄉,0.5197
48,龜山鄉,0.4351
49,八德市,0.6182
50,龍潭鄉,0.5121
51,平鎮市,0.5408
52,新屋鄉,0.5286
53,觀音鄉,0.4998
54,復興鄉,0.4996
55,竹北市,0.5557
56,竹東鎮,0.5405
57,新埔鎮,0.5586
58,關西鎮,0.4508
59,湖口鄉,0.4377
60,新豐鄉,0.5745
61,芎林鄉,0.5449
62,橫山鄉,0.5022
63,北埔鄉,0.5174
64,寶山鄉,0.5344
65,峨眉鄉,0.5034
66,尖石鄉,0.6042
67,五峰鄉,0.4331
68,苗栗市,0.4968
69,苑裡鎮,0.5504
70,通霄鎮,0.5656
71,竹南鎮,0.5486
72,頭份鎮,0.5428
73,後龍鎮,0.5318
74,卓蘭鎮,0.5481
75,大湖鄉,0.5156
76,公館鄉,0.5338
77,銅鑼鄉,0.5364
78,南庄鄉,0.4689
79,頭屋鄉,0.5306
80,三義鄉,0.5496
81,西湖鄉,0.5045
82,造橋鄉,0.5686
83,三灣鄉,0.5067
84,獅潭鄉,0.4587
85,泰安鄉,0.4122
86,豐原市,0.5369
87,東勢鎮,0.5205
88,大甲鎮,0.5916
89,清水鎮,0.5604
90,沙鹿鎮,0.5528
91,梧棲鎮,0.616
92,后里鄉,0.4959
93,神岡鄉,0.4965
94,潭子鄉,0.5171
95,大雅鄉,0.4777
96,新社鄉,0.4032
97,石岡鄉,0.5006
98,外埔鄉,0.5576
99,大安鄉,0.5422
100,烏日鄉,0.5023
101,大肚鄉,0.5823
102,龍井鄉,0.5637
103,霧峰鄉,0.5424
104,太平市,0.5336
105,大里市,0.579
106,和平鄉,0.369
107,彰化市,0.5564
108,鹿港鎮,0.5889
109,和美鎮,0.5914
110,線西鄉,0.566
111,伸港鄉,0.5957
112,福興鄉,0.5899
113,秀水鄉,0.6095
114,花壇鄉,0.5794
115,芬園鄉,0.5196
116,員林鎮,0.5667
117,溪湖鎮,0.5923
118,田中鎮,0.5586
119,大村鄉,0.5641
120,埔鹽鄉,0.565
121,埔心鄉,0.5769
122,永靖鄉,0.5729
123,社頭鄉,0.5703
124,二水鄉,0.4928
125,北斗鎮,0.5551
126,二林鎮,0.5506
127,田尾鄉,0.5393
128,埤頭鄉,0.5228
129,芳苑鄉,0.4659
130,大城鄉,0.4598
131,竹塘鄉,0.4899
132,溪州鄉,0.5172
133,南投市,0.5284
134,埔里鎮,0.5073
135,草屯鎮,0.5337
136,竹山鎮,0.5095
137,集集鎮,0.4552
138,名間鄉,0.5114
139,鹿谷鄉,0.499
140,中寮鄉,0.4738
141,魚池鄉,0.4631
142,國姓鄉,0.4491
143,水里鄉,0.4871
144,信義鄉,0.5669
145,仁愛鄉,0.481
146,斗六市,0.5312
147,斗南鎮,0.5124
148,虎尾鎮,0.4984
149,西螺鎮,0.5145
150,土庫鎮,0.5142
