town,befo
板橋市,1.96
三重市,2.74
中和市,1.76
永和市,1.57
新莊市,2.22
新店市,2.4
樹林市,4.63
鶯歌鎮,4.29
三峽鎮,3.02
淡水鎮,3.83
汐止市,3.21
瑞芳鎮,9.38
土城市,2.09
蘆洲市,2.02
五股鄉,3.59
泰山鄉,3.64
林口鄉,3.71
深坑鄉,4.54
石碇鄉,16.18
坪林鄉,19.95
三芝鄉,4.67
石門鄉,7.09
八里鄉,3.57
平溪鄉,13.16
雙溪鄉,10.57
貢寮鄉,16.24
金山鄉,9.8
萬里鄉,5.54
烏來鄉,9.84
宜蘭市,2.7
羅東鎮,6.02
蘇澳鎮,4.54
頭城鎮,3.23
礁溪鄉,4.34
壯圍鄉,3.61
員山鄉,2.76
冬山鄉,5.05
五結鄉,8.18
三星鄉,12.07
大同鄉,2.98
南澳鄉,2.67
桃園市,2.55
中壢市,2.66
大溪鎮,7.32
楊梅鎮,4.94
蘆竹鄉,6.92
大園鄉,6.48
龜山鄉,4.21
八德市,2.71
龍潭鄉,4.45
平鎮市,1.83
新屋鄉,8.73
觀音鄉,5.53
復興鄉,3.42
竹北市,2.35
竹東鎮,2.22
新埔鎮,3.4
關西鎮,4.44
湖口鄉,3.04
新豐鄉,1.76
芎林鄉,3.37
橫山鄉,3.96
北埔鄉,4.91
寶山鄉,3.38
峨眉鄉,4.99
尖石鄉,4.93
五峰鄉,2.81
苗栗市,4.87
苑裡鎮,9.95
通霄鎮,7.99
竹南鎮,5.02
頭份鎮,4.02
後龍鎮,11.87
卓蘭鎮,12.53
大湖鄉,9.11
公館鄉,9.01
銅鑼鄉,8.16
南庄鄉,13.92
頭屋鄉,8.29
三義鄉,5.94
西湖鄉,11.48
造橋鄉,7.55
三灣鄉,10.89
獅潭鄉,8.81
泰安鄉,5.11
豐原市,2.43
東勢鎮,2.76
大甲鎮,3.74
清水鎮,2.86
沙鹿鎮,2.14
梧棲鎮,2.41
后里鄉,6.83
神岡鄉,5.11
潭子鄉,1.93
大雅鄉,2.34
新社鄉,4.54
石岡鄉,4.06
外埔鄉,3.78
大安鄉,3.17
烏日鄉,2.53
大肚鄉,1.95
龍井鄉,1.49
霧峰鄉,4.61
太平市,2.42
大里市,1.64
和平鄉,3.42
彰化市,3.7
鹿港鎮,9.9
和美鎮,3.52
線西鄉,5
伸港鄉,5.39
福興鄉,4.61
秀水鄉,6.09
花壇鄉,6.17
芬園鄉,4.69
員林鎮,3.64
溪湖鎮,5.63
田中鎮,7.68
大村鄉,3.5
埔鹽鄉,4.71
埔心鄉,6.38
永靖鄉,3.78
社頭鄉,4.14
二水鄉,7.53
北斗鎮,4.42
二林鎮,4.25
田尾鄉,6.2
埤頭鄉,4.12
芳苑鄉,5.72
大城鄉,6.05
竹塘鄉,7.27
溪州鄉,4.44
南投市,8.69
埔里鎮,11.76
草屯鎮,10
竹山鎮,8.31
集集鎮,29.18
名間鄉,21.6
鹿谷鄉,14.4
中寮鄉,19.2
魚池鄉,23.86
國姓鄉,9.32
水里鄉,10.64
信義鄉,6.35
仁愛鄉,5.43
斗六市,4.63
斗南鎮,5.67
虎尾鎮,5.64
西螺鎮,7.9
