town,befo
鳳林鎮,22
玉里鎮,12.07
新城鄉,6.28
吉安鄉,5.79
壽豐鄉,6.12
光復鄉,8.28
豐濱鄉,1.87
瑞穗鄉,9.54
富里鄉,12.11
秀林鄉,4.56
萬榮鄉,3.69
卓溪鄉,2.93
馬公鎮,13.85
湖西鄉,24.02
白沙鄉,32.25
西嶼鄉,20.93
望安鄉,24.26
七美鄉,16.89
中正區,12.99
七堵區,6.62
暖暖區,12.85
仁愛區,12.66
中山區,5.96
安樂區,7.29
信義區,8.06
中區,28.26
東區,5.42
西區,29.49
南區,10.26
北區,6.74
西屯區,15.88
南屯區,25.62
北屯區,11.94
東區,5.42
南區,10.26
西區,29.49
北區,6.74
中區,28.26
安南區,9.61
安平區,22.96
松山區,3.45
大安區,7.78
古亭區,10.88
雙園區,6.64
龍山區,27.25
城中區,23.35
建成區,28.74
延平區,34.96
大同區,12.24
中山區,5.96
內湖區,6.7
南港區,6.12
木柵區,5.16
景美區,3.92
士林區,4.84
北投區,4.99
鹽埕區,24.67
鼓山區,15.24
左營區,10.09
楠梓區,8.02
三民區,3.78
新興區,6.86
前金區,13.31
苓雅區,3.81
前鎮區,2.51
旗津區,11.42
小港區,8.12
