town,chu
板橋市,28
三重市,28.04
中和市,24.54
永和市,20.05
新莊市,30.76
新店市,19.79
樹林市,30.11
鶯歌鎮,30.33
三峽鎮,30.18
淡水鎮,23.96
汐止市,24.3
瑞芳鎮,29.07
土城市,29.43
蘆洲市,30.54
五股鄉,28.08
泰山鄉,25.81
林口鄉,23.88
深坑鄉,25.98
石碇鄉,24.57
坪林鄉,24.51
三芝鄉,28.79
石門鄉,28.26
八里鄉,29.91
平溪鄉,26.77
雙溪鄉,27.48
貢寮鄉,27.92
金山鄉,29.01
萬里鄉,27.5
烏來鄉,27.61
宜蘭市,26.5
羅東鎮,27.05
蘇澳鎮,29.1
頭城鎮,29.43
礁溪鄉,31.12
壯圍鄉,31.65
員山鄉,31.18
冬山鄉,30.69
五結鄉,29.08
三星鄉,29.92
大同鄉,35.4
南澳鄉,35.19
桃園市,27.26
中壢市,23.57
大溪鎮,27.71
楊梅鎮,24.43
蘆竹鄉,30.39
大園鄉,29.29
龜山鄉,26.16
八德市,28.44
龍潭鄉,25.61
平鎮市,27.37
新屋鄉,24.64
觀音鄉,26.97
復興鄉,33.69
竹北市,26.65
竹東鎮,25.28
新埔鎮,23.67
關西鎮,22.28
湖口鄉,23.54
新豐鄉,25.9
芎林鄉,23.95
橫山鄉,23.77
北埔鄉,24.6
寶山鄉,27.09
峨眉鄉,23.35
尖石鄉,32.86
五峰鄉,31.04
苗栗市,22
苑裡鎮,29.38
通霄鎮,26.83
竹南鎮,27.29
頭份鎮,27.42
後龍鎮,28.2
卓蘭鎮,27.29
大湖鄉,25.23
公館鄉,23.59
銅鑼鄉,24.82
南庄鄉,29.2
頭屋鄉,24.22
三義鄉,24.88
西湖鄉,24.29
造橋鄉,25.92
三灣鄉,24.09
獅潭鄉,24.94
泰安鄉,26.91
豐原市,26.45
東勢鎮,27.72
大甲鎮,28.69
清水鎮,26.36
沙鹿鎮,26.61
梧棲鎮,28.15
后里鄉,27.64
神岡鄉,26.97
潭子鄉,25.37
大雅鄉,28.14
新社鄉,25.95
石岡鄉,25.55
外埔鄉,30.32
大安鄉,29.3
烏日鄉,24.73
大肚鄉,27.34
龍井鄉,27.95
霧峰鄉,26.06
太平市,27.44
大里市,28.32
和平鄉,24.61
彰化市,24.76
鹿港鎮,26.8
和美鎮,26.18
線西鄉,25.71
伸港鄉,27.56
福興鄉,27.7
秀水鄉,28.69
花壇鄉,27.3
芬園鄉,26.65
員林鎮,25.75
溪湖鎮,27.62
田中鎮,23.42
大村鄉,27.21
埔鹽鄉,27.46
埔心鄉,28.01
永靖鄉,26.19
社頭鄉,25.97
二水鄉,21.27
北斗鎮,26.62
二林鎮,28.1
田尾鄉,25.29
埤頭鄉,26.96
芳苑鄉,28.54
大城鄉,31.19
竹塘鄉,28.25
溪州鄉,27.59
南投市,24.45
埔里鎮,28.04
草屯鎮,26.71
竹山鎮,26.82
集集鎮,24.06
名間鄉,26.16
鹿谷鄉,25.53
中寮鄉,26.67
魚池鄉,28
國姓鄉,30.79
水里鄉,26.51
信義鄉,29.16
仁愛鄉,24.59
斗六市,23.9
斗南鎮,24.88
虎尾鎮,25.61
西螺鎮,28.03
土庫鎮,25.28
北港鎮,25.92
古坑鄉,25.29
大埤鄉,25.56
莿桐鄉,28.15
林內鄉,27.26
二崙鄉,28.79
崙背鄉,29.62
麥寮鄉,29.79
東勢鄉,26.52
褒忠鄉,28.11
臺西鄉,27.36
元長鄉,26.57
四湖鄉,28.11
口湖鄉,28.56
水林鄉,25.74
太保市,28.1
朴子市,26.16
布袋鎮,26.21
大林鎮,21.72
民雄鄉,25.37
溪口鄉,25.14
新港鄉,26.52
六腳鄉,24.83
東石鄉,28.9
義竹鄉,24.79
鹿草鄉,24.35
水上鄉,25.48
中埔鄉,29.22
竹崎鄉,27.31
梅山鄉,25.03
番路鄉,27.49
大埔鄉,30.97
吳鳳鄉,23.46
新營市,22.25
鹽水鎮,24.12
白河鎮,22.53
柳營鄉,23.07
後壁鄉,26.95
東山鄉,24.89
麻豆鎮,22.66
下營鄉,24.78
六甲鄉,23.57
官田鄉,20.27
大內鄉,25.05
佳里鎮,24.74
學甲鎮,24.56
西港鄉,20.11
七股鄉,21.82
將軍鄉,27.71
北門鄉,27.26
新化鎮,26.92
善化鎮,26.52
新市鄉,25.71
安定鄉,25.22
山上鄉,23.16
玉井鄉,24.61
楠西鄉,25.64
南化鄉,26.4
左鎮鄉,23.14
仁德鄉,26.19
歸仁鄉,28.59
關廟鄉,26.53
龍崎鄉,23.49
永康市,24.79
鳳山市,24.72
林園鄉,29.5
大寮鄉,25.35
大樹鄉,24.05
大社鄉,25.94
仁武鄉,25.49
鳥松鄉,21.89
岡山鎮,21.71
橋頭鄉,22.59
燕巢鄉,24.38
田寮鄉,24.09
阿蓮鄉,27.19
路竹鄉,25.82
湖內鄉,25.01
茄萣鄉,28.39
永安鄉,24.91
彌陀鄉,26.55
梓官鄉,27.33
旗山鎮,24.53
美濃鎮,22.25
六龜鄉,29.29
甲仙鄉,32.01
杉林鄉,29.52
內門鄉,28.3
茂林鄉,26.14
桃源鄉,30.79
三民鄉,22.74
屏東市,23.28
潮州鎮,24.41
東港鎮,27.08
恆春鎮,29.86
萬丹鄉,26.43
長治鄉,24.06
麟洛鄉,18.89
九如鄉,27.93
里港鄉,24.5
鹽埔鄉,27.26
高樹鄉,25.53
萬巒鄉,23.9
內埔鄉,23.98
竹田鄉,21.93
新埤鄉,22.74
枋寮鄉,26.76
新園鄉,27.26
崁頂鄉,25.52
林邊鄉,26.78
南州鄉,23.17
佳冬鄉,24.67
琉球鄉,30.86
車城鄉,30.39
滿州鄉,30.69
枋山鄉,26.53
三地鄉,24.68
霧臺鄉,22.4
瑪家鄉,22.24
泰武鄉,24.68
來義鄉,20.4
春日鄉,18.44
獅子鄉,28.68
牡丹鄉,26.64
臺東市,24.25
成功鎮,29.81
關山鎮,24.98
卑南鄉,23.81
鹿野鄉,28.22
池上鄉,26.71
東河鄉,28.89
長濱鄉,31.95
太麻里鄉,26.26
大武鄉,27.94
綠島鄉,23.59
海端鄉,32.11
延平鄉,29.51
金峰鄉,24.58
達仁鄉,26.87
蘭嶼鄉,34.52
花蓮市,21.31
鳳林鎮,23.98
玉里鎮,24.53
新城鄉,22.6
吉安鄉,25.21
壽豐鄉,23.29
光復鄉,26.72
豐濱鄉,31.56
瑞穗鄉,29.76
富里鄉,30.11
秀林鄉,26.01
萬榮鄉,25.85
卓溪鄉,28.63
馬公市,23.46
湖西鄉,24.53
白沙鄉,27.43
西嶼鄉,28.05
望安鄉,23.82
七美鄉,34.13
中正區,23.52
七堵區,25.99
暖暖區,23.97
仁愛區,22.39
中山區,23.11
安樂區,25.07
信義區,20.08
東區,20.62
北區,24.55
香山區,28.49
中區,27.08
東區,25.08
南區,22.69
西區,20.92
北區,21.29
西屯區,21.25
南屯區,23.3
北屯區,23.91
東區,21.47
西區,24.32
東區,20.77
南區,25.22
西區,22
北區,23.75
中區,20.87
安南區,30.26
安平區,22.45
松山區,17.15
信義區,18.57
大安區,14.29
中山區,19.26
中正區,17.7
大同區,23.34
萬華區,24
文山區,18.06
南港區,22.53
內湖區,19.65
士林區,20.32
北投區,21.79
鹽埕區,23.32
鼓山區,23.46
左營區,20.54
楠梓區,23.86
三民區,25.31
新興區,20.36
前金區,19.69
苓雅區,22.82
前鎮區,26.54
旗津區,30.34
小港區,28.42
