town,befo
板橋市,0.9
三重市,2
中和市,0.6
永和市,0.9
新莊市,1.4
新店市,3.6
樹林市,4.1
鶯歌鎮,6.7
三峽鎮,9.7
淡水鎮,5.5
汐止市,3.8
瑞芳鎮,21.7
土城市,2.5
蘆洲市,1.5
五股鄉,2.9
泰山鄉,1.8
林口鄉,9.4
深坑鄉,9.8
石碇鄉,27
坪林鄉,45.7
三芝鄉,18.9
石門鄉,25.5
八里鄉,5.5
平溪鄉,27.7
雙溪鄉,22.9
貢寮鄉,30.9
金山鄉,10.8
萬里鄉,12.9
烏來鄉,6.9
宜蘭市,8.2
羅東鎮,8.4
蘇澳鎮,6
頭城鎮,8.4
礁溪鄉,11.1
壯圍鄉,10.5
員山鄉,8.1
冬山鄉,4.8
五結鄉,10
三星鄉,15.1
大同鄉,1.5
南澳鄉,0.6
桃園市,2.4
中壢市,3.3
大溪鎮,9.7
楊梅鎮,7.3
蘆竹鄉,8.4
大園鄉,6.9
龜山鄉,3.4
八德市,2.6
龍潭鄉,6.7
平鎮市,3.1
新屋鄉,16.6
觀音鄉,24.6
復興鄉,4.1
竹北市,3.8
竹東鎮,18.4
新埔鎮,13.6
關西鎮,8.6
湖口鄉,7.2
新豐鄉,13.3
芎林鄉,4.6
橫山鄉,11.8
北埔鄉,13.7
寶山鄉,18.3
峨眉鄉,14
尖石鄉,3.2
五峰鄉,0.6
苗栗市,7
苑裡鎮,15.9
通霄鎮,14.4
竹南鎮,7.3
頭份鎮,5.1
後龍鎮,8.6
卓蘭鎮,17.2
大湖鄉,9.1
公館鄉,8.1
銅鑼鄉,9.4
南庄鄉,10.7
頭屋鄉,10.8
三義鄉,7.3
西湖鄉,7.1
造橋鄉,5.3
三灣鄉,6.7
獅潭鄉,6.7
泰安鄉,1.3
豐原市,7.7
東勢鎮,23.1
大甲鎮,10.3
清水鎮,13.3
沙鹿鎮,12.5
梧棲鎮,12.7
后里鄉,11.5
神岡鄉,12
潭子鄉,9.1
大雅鄉,9.8
新社鄉,10.2
石岡鄉,22.9
外埔鄉,15
大安鄉,15.8
烏日鄉,7.4
大肚鄉,10.7
龍井鄉,12.7
霧峰鄉,12.4
太平市,2.9
大里市,3.6
和平鄉,5.2
彰化市,5.3
鹿港鎮,15.8
和美鎮,7.1
線西鄉,12.8
伸港鄉,9.5
福興鄉,10.8
秀水鄉,8.4
花壇鄉,7.4
芬園鄉,8.2
員林鎮,4.9
溪湖鎮,7.4
田中鎮,9.8
大村鄉,11.8
埔鹽鄉,19.5
埔心鄉,8.6
永靖鄉,10.2
社頭鄉,13.3
二水鄉,10.8
北斗鎮,14.5
二林鎮,16.1
田尾鄉,12.8
埤頭鄉,4.6
芳苑鄉,8.2
大城鄉,2.6
竹塘鄉,8.7
溪州鄉,7.9
南投市,9.5
埔里鎮,10.6
草屯鎮,10.5
竹山鎮,10
集集鎮,36.5
名間鄉,23.5
鹿谷鄉,11.2
中寮鄉,15.5
魚池鄉,37.8
國姓鄉,14.8
水里鄉,13.4
信義鄉,6.5
仁愛鄉,2.7
斗六市,8.1
斗南鎮,8.4
虎尾鎮,9.4
西螺鎮,10.6
土庫鎮,13.9
北港鎮,21.5
古坑鄉,11
大埤鄉,8.1
莿桐鄉,6.7
林內鄉,11
二崙鄉,8.8
崙背鄉,9.3
麥寮鄉,3
東勢鄉,5.9
褒忠鄉,13.2
臺西鄉,3.1
元長鄉,10.9
四湖鄉,7
口湖鄉,8.7
水林鄉,11.5
太保市,19.5
朴子市,15.2
布袋鎮,9.5
大林鎮,10.5
民雄鄉,20
溪口鄉,14.5
新港鄉,16.1
六腳鄉,14
東石鄉,17
義竹鄉,25.3
鹿草鄉,10.5
水上鄉,8.3
中埔鄉,6.9
竹崎鄉,14.1
梅山鄉,16.2
番路鄉,8.3
大埔鄉,8.1
吳鳳鄉,3.6
新營市,8.7
鹽水鎮,15.7
白河鎮,11.2
柳營鄉,15.7
後壁鄉,9
東山鄉,8.3
麻豆鎮,14.1
下營鄉,14.7
六甲鄉,11.5
官田鄉,13.1
大內鄉,15.5
佳里鎮,12.3
學甲鎮,14.7
西港鄉,7.8
七股鄉,9
將軍鄉,8.1
北門鄉,12.1
新化鎮,12
善化鎮,9.7
新市鄉,4.7
安定鄉,8.7
山上鄉,15.1
玉井鄉,10.3
楠西鄉,7.8
南化鄉,7.1
左鎮鄉,20.1
仁德鄉,2.9
歸仁鄉,6.6
關廟鄉,7.8
