town,priv
板橋鎮,45.94
三重市,54.98
中和鄉,43.63
永和鎮,49.27
新莊鎮,56.39
新店鎮,50.72
樹林鎮,62.89
鶯歌鎮,65.93
三峽鎮,73.09
淡水鎮,66.01
汐止鎮,64.65
瑞芳鎮,57.26
土城鄉,53.66
蘆洲鄉,70.55
五股鄉,54.28
泰山鄉,57.56
林口鄉,64.62
深坑鄉,74.62
石碇鄉,79.12
坪林鄉,90.3
三芝鄉,84.79
石門鄉,78.58
八里鄉,83.52
平溪鄉,66.14
雙溪鄉,76.97
貢寮鄉,83.69
金山鄉,79.08
萬里鄉,78.41
烏來鄉,72.9
宜蘭市,58.8
羅東鎮,58.82
頭城鎮,70.06
蘇澳鎮,85.07
礁溪鄉,84.34
壯圍鄉,90.74
員山鄉,84.87
冬山鄉,91.77
五結鄉,83.32
三星鄉,86.39
大同鄉,54.4
南澳鄉,88.61
桃園鎮,51.64
中壢鎮,49.76
大溪鎮,62.67
楊梅鎮,58.52
蘆竹鄉,72.97
大園鄉,75.85
龜山鄉,50.69
八德鄉,55.72
龍潭鄉,55.68
平鎮鄉,51.44
新屋鄉,84.2
觀音鄉,83.59
復興鄉,86.34
竹北鄉,79.68
竹東鎮,61.82
新埔鎮,73.58
關西鎮,78.07
湖口鄉,64.25
新豐鄉,77.25
芎林鄉,82.94
橫山鄉,77.67
北埔鄉,83
寶山鄉,89.53
峨眉鄉,88.8
尖石鄉,79.21
五峰鄉,90.71
苗栗鎮,56.95
苑裡鎮,80.47
通霄鎮,86.74
竹南鎮,73.54
頭份鎮,76.9
後龍鎮,86.79
卓蘭鎮,82.52
大湖鄉,82.98
公館鄉,84.84
銅鑼鄉,87.79
南庄鄉,78.11
頭屋鄉,85.43
三義鄉,85.25
西湖鄉,93.76
造橋鄉,81.22
三灣鄉,89.44
獅潭鄉,90.16
泰安鄉,89.67
豐原鎮,60.13
東勢鎮,71.11
大甲鎮,71.19
清水鎮,74.45
沙鹿鎮,79.31
梧棲鎮,84.06
后里鄉,77.77
神岡鄉,79.24
潭子鄉,67.03
大雅鄉,65.98
新社鄉,83.62
石岡鄉,76.62
外埔鄉,80.88
大安鄉,86.18
烏日鄉,67.94
大肚鄉,82.54
龍井鄉,90.07
霧峰鄉,72.42
太平鄉,75.66
大里鄉,70.22
和平鄉,68.56
彰化市,62.84
鹿港鎮,83.99
和美鎮,86.85
線西鄉,94.93
伸港鄉,92.65
福興鄉,96.12
秀水鄉,92.9
花壇鄉,88.69
芬園鄉,93.14
員林鎮,74.68
溪湖鎮,85.6
田中鎮,82.96
大村鄉,93.3
埔鹽鄉,97.22
埔心鄉,94.72
永靖鄉,92.06
社頭鄉,92.78
二水鄉,89.07
北斗鎮,83.44
二林鎮,88.54
田尾鄉,94.64
埤頭鄉,94.3
芳苑鄉,93.81
大城鄉,94.4
