town,nian
鳳林鎮,21.35
玉里鎮,23.52
新城鄉,27.65
吉安鄉,51.04
壽豐鄉,29.57
光復鄉,29.35
豐濱鄉,52.32
瑞穗鄉,27.29
富里鄉,22.69
秀林鄉,32.97
萬榮鄉,30.69
卓溪鄉,31.68
馬公鎮,28.71
湖西鄉,26.25
白沙鄉,22.96
西嶼鄉,21.73
望安鄉,16.21
七美鄉,25.46
中正區,22.7
七堵區,54.99
暖暖區,18
仁愛區,20.94
中山區,26.31
安樂區,31.43
信義區,19.81
中區,12.29
東區,27.78
西區,8.54
南區,35.12
北區,23.99
西屯區,22.16
南屯區,11.08
北屯區,17.18
東區,27.78
南區,35.12
西區,8.54
北區,23.99
中區,12.29
安南區,46.97
安平區,27.12
松山區,29.88
大安區,30.46
古亭區,25.9
雙園區,21.33
龍山區,19.45
城中區,22.18
建成區,12.36
延平區,22.46
大同區,16.78
中山區,26.31
內湖區,57.04
南港區,39.53
木柵區,40.62
景美區,42.69
士林區,36.11
北投區,37.24
鹽埕區,19.64
鼓山區,25
左營區,17.87
楠梓區,34.74
三民區,40.14
新興區,22.49
前金區,17.64
苓雅區,35.99
前鎮區,28.91
旗津區,15.64
小港區,39.48
