town,sale
新城鄉,5.74
吉安鄉,3.21
壽豐鄉,4.01
光復鄉,5.24
豐濱鄉,2.24
瑞穗鄉,6.4
富里鄉,4.81
秀林鄉,1.86
萬榮鄉,1.03
卓溪鄉,1.33
馬公鎮,7.42
湖西鄉,1.92
白沙鄉,2.41
西嶼鄉,4.13
望安鄉,1.73
七美鄉,2.07
中正區,8.71
七堵區,5.77
暖暖區,7.47
仁愛區,23.39
中山區,5.86
安樂區,9.99
信義區,8.27
新竹市,9.72
香山鄉,4.47
中區,33.48
東區,13.36
南區,11.62
西區,13.53
北區,14.56
西屯區,4.55
南屯區,5.05
北屯區,5.86
嘉義市,16.59
東區,9.76
南區,11.22
西區,25.86
北區,14.22
中區,25.45
安南區,4.5
安平區,6.06
鹽埕區,27.02
鼓山區,9.73
左營區,5.2
楠梓區,8.93
三民區,12.94
新興區,16.32
前金區,13.22
苓雅區,10.5
前鎮區,4.9
旗津區,5.72
小港鄉,3.93
大安區,9.57
大同區,19.05
松山區,8
南港鎮,6.87
內湖鄉,5.33
中山區,13.82
北投鎮,7.17
士林鎮,8.74
城中區,14.38
延平區,30.19
建成區,28.62
古亭區,15.73
龍山區,24.99
雙園區,18.53
景美鎮,8.02
木柵鄉,6.03
