town,xiao
光復鄉,46.25
豐濱鄉,55.67
瑞穗鄉,48.57
富里鄉,51.08
秀林鄉,55.27
萬榮鄉,54.71
卓溪鄉,59.59
馬公市,33.39
湖西鄉,35.61
白沙鄉,53.47
西嶼鄉,58.97
望安鄉,58.3
七美鄉,60.42
中正區,27.48
七堵區,32.05
暖暖區,30.31
仁愛區,32.35
中山區,31.53
安樂區,29.1
信義區,26.74
東區,23.53
北區,28.78
香山區,30.73
中區,26.55
東區,30.69
南區,23.72
西區,23.74
北區,24.45
西屯區,24.08
南屯區,26.26
北屯區,27.9
東區,27.26
西區,32.46
東區,25.51
南區,32.71
西區,32.18
北區,30.92
中區,25.43
安南區,36.66
安平區,31.38
松山區,18.91
信義區,22.97
大安區,16.22
中山區,20.66
中正區,20.5
大同區,27.59
萬華區,28.54
文山區,21.13
南港區,27.69
內湖區,24.64
士林區,24.91
北投區,25.49
鹽埕區,29.43
鼓山區,26.8
左營區,24.37
楠梓區,27.8
三民區,27.24
新興區,23.11
前金區,24.46
苓雅區,25.16
前鎮區,30.76
旗津區,39.76
小港區,30.62
