town,nian
板橋市,9.6
三重市,8.6
中和市,8.1
永和市,11.9
新莊市,18.7
新店市,12.9
樹林市,14.6
鶯歌鎮,4.3
三峽鎮,7.9
淡水鎮,13.6
汐止市,13.7
瑞芳鎮,3.7
土城市,20.3
蘆洲市,33.7
五股鄉,16.5
泰山鄉,13.6
林口鄉,16.2
深坑鄉,7.2
石碇鄉,6.7
坪林鄉,1.9
三芝鄉,6.3
石門鄉,11.1
八里鄉,9
平溪鄉,1.6
雙溪鄉,2.6
貢寮鄉,2.4
金山鄉,7.9
萬里鄉,6.6
烏來鄉,6.1
宜蘭市,9.1
羅東鎮,10.8
蘇澳鎮,3.9
頭城鎮,5.1
礁溪鄉,8.2
壯圍鄉,7.8
員山鄉,7.3
冬山鄉,6.1
五結鄉,6.1
三星鄉,5.7
大同鄉,6.8
南澳鄉,7.7
桃園市,14.4
中壢市,13.3
大溪鎮,5.6
楊梅鎮,8.7
蘆竹鄉,14
大園鄉,8.3
龜山鄉,9.3
八德市,9
龍潭鄉,6.7
平鎮市,8
新屋鄉,8.7
觀音鄉,9.7
復興鄉,12.4
竹北市,13.3
竹東鎮,8.1
新埔鎮,8.1
關西鎮,10.1
湖口鄉,11.6
新豐鄉,5.7
芎林鄉,12
橫山鄉,7.1
北埔鄉,9.6
寶山鄉,8.6
峨眉鄉,8.8
尖石鄉,10
五峰鄉,5.6
苗栗市,10.3
苑裡鎮,5.5
通霄鎮,6.5
竹南鎮,9.6
頭份鎮,12.2
後龍鎮,6.8
卓蘭鎮,10
大湖鄉,7.8
公館鄉,12.2
銅鑼鄉,9
南庄鄉,5
頭屋鄉,6.5
三義鄉,7.7
西湖鄉,7.1
造橋鄉,5
三灣鄉,7.3
獅潭鄉,5.9
泰安鄉,8.1
豐原市,12.3
東勢鎮,8
大甲鎮,10.7
清水鎮,7.5
沙鹿鎮,6.5
梧棲鎮,9.3
后里鄉,8.8
神岡鄉,13
潭子鄉,13.7
大雅鄉,12
新社鄉,5.8
石岡鄉,9.1
外埔鄉,6.9
大安鄉,5.8
烏日鄉,13.1
大肚鄉,5.9
龍井鄉,10
霧峰鄉,8.7
太平市,11
大里市,14.9
和平鄉,5.7
彰化市,8.7
鹿港鎮,7.8
和美鎮,8.6
線西鄉,8.4
伸港鄉,10.5
福興鄉,7.8
秀水鄉,9.1
花壇鄉,7
芬園鄉,9.5
員林鎮,8.3
溪湖鎮,7.7
田中鎮,12
大村鄉,6.4
埔鹽鄉,4.8
埔心鄉,8.8
永靖鄉,7.8
社頭鄉,11.1
二水鄉,8.6
北斗鎮,10.7
二林鎮,4.7
田尾鄉,8
