town,illiterate
板橋市,7.98
三重市,9.41
永和市,5.8
中和市,6.6
新莊市,8.23
新店市,6.65
樹林鎮,8.99
鶯歌鎮,12.45
三峽鎮,14.63
淡水鎮,13.11
汐止鎮,11.56
瑞芳鎮,16.99
土城鄉,9.72
蘆洲鄉,10.12
五股鄉,10.72
泰山鄉,7.7
林口鄉,16.8
深坑鄉,13.26
石碇鄉,17.49
坪林鄉,20.63
三芝鄉,22.66
石門鄉,24.7
八里鄉,18.41
平溪鄉,19.3
雙溪鄉,22.05
貢寮鄉,23.68
金山鄉,20.81
萬里鄉,21.31
烏來鄉,7.43
宜蘭市,12.05
羅東鎮,11.03
蘇澳鎮,16.91
頭城鎮,19.58
礁溪鄉,19.39
壯圍鄉,23.08
員山鄉,26.71
冬山鄉,16.15
五結鄉,13.38
三星鄉,18.98
大同鄉,9.42
南澳鄉,6.66
桃園市,10.14
中壢市,9.33
大溪鎮,14.39
楊梅鎮,11.26
蘆竹鄉,17.29
大園鄉,19.96
龜山鄉,10.93
八德鄉,11.88
龍潭鄉,10.56
平鎮鄉,9.5
新屋鄉,18.27
觀音鄉,20.17
復興鄉,10.92
新竹市,9.55
關西鎮,8.94
新埔鎮,11.35
竹東鎮,9.21
香山鄉,17.84
竹北鄉,13.43
湖口鄉,12.21
橫山鄉,9.38
新豐鄉,17.53
芎林鄉,11.07
寶山鄉,15.87
北埔鄉,14.44
峨眉鄉,13.35
尖石鄉,9.75
五峰鄉,7.62
苗栗鎮,6.94
苑裡鎮,16.34
通霄鎮,18.39
竹南鎮,13.76
頭份鎮,9.82
後龍鎮,15.41
卓蘭鎮,12.19
大湖鄉,10.83
公館鄉,9.59
銅鑼鄉,10.34
南庄鄉,12.55
頭屋鄉,11.35
三義鄉,10.98
西湖鄉,13.9
造橋鄉,12.14
三灣鄉,12.03
獅潭鄉,12.26
泰安鄉,9.66
豐原市,9.42
東勢鎮,10.9
大甲鎮,15.51
清水鎮,15.97
沙鹿鎮,16.28
梧棲鎮,18.03
后里鄉,15.16
神岡鄉,13.66
潭子鄉,10.06
大雅鄉,13.15
新社鄉,15.5
石岡鄉,10.82
外埔鄉,18.51
大安鄉,16.28
烏日鄉,14.28
大肚鄉,17.13
龍井鄉,18.77
霧峰鄉,15.22
太平鄉,12.03
大里鄉,11.66
和平鄉,11.28
彰化市,10.58
鹿港鎮,18.09
和美鎮,17.37
北斗鎮,14.66
員林鎮,13.46
溪湖鎮,19.98
田中鎮,15.8
二林鎮,24.66
線西鄉,21.88
伸港鄉,24.1
福興鄉,23.4
秀水鄉,20.19
花壇鄉,17.27
芬園鄉,22.86
大村鄉,21.32
埔鹽鄉,22.65
埔心鄉,20.61
永靖鄉,18.01
社頭鄉,17.43
二水鄉,14.59
田尾鄉,20.24
埤頭鄉,23.69
芳苑鄉,33.61
大城鄉,33.37
竹塘鄉,21.5
溪州鄉,22.14
南投鎮,11.87
埔里鎮,12.01
草屯鎮,13.06
竹山鎮,12.25
集集鎮,13.71
名間鄉,12.96
鹿谷鄉,12.91
中寮鄉,18.57
魚池鄉,15.93
國姓鄉,17.14
水里鄉,13.45
信義鄉,12.37
仁愛鄉,8.3
斗六鎮,12.68
斗南鎮,12.8
虎尾鎮,12.76
西螺鎮,17.64
土庫鎮,20.14
北港鎮,15.52
古坑鄉,12.21
大埤鄉,21.14
莿桐鄉,16.94
林內鄉,16.37
二崙鄉,20.54
崙背鄉,18.42
麥寮鄉,24.1
東勢鄉,20.51
褒忠鄉,23.71
臺西鄉,28.71
元長鄉,24.53
四湖鄉,31.78
口湖鄉,29.71
水林鄉,27.6
嘉義市,11.91
朴子鎮,19.37
布袋鎮,22.73
大林鎮,18.9
民雄鄉,16.4
溪口鄉,20.73
新港鄉,20.03
六腳鄉,22.56
東石鄉,27.28
義竹鄉,20.69
鹿草鄉,21.44
太保鄉,21.22
水上鄉,15.54
中埔鄉,16.04
竹崎鄉,16.31
梅山鄉,13.27
番路鄉,20.67
大埔鄉,13.55
吳鳳鄉,12.28
新營鎮,15.54
鹽水鎮,20.97
白河鎮,17.99
麻豆鎮,14.8
佳里鎮,15.96
新化鎮,14.27
善化鎮,15.73
學甲鎮,14.72
柳營鄉,23.51
後壁鄉,21.19
東山鄉,24.61
下營鄉,19.64
六甲鄉,17.68
官田鄉,18.98
大內鄉,17.87
西港鄉,20.88
七股鄉,22.2
將軍鄉,24.48
北門鄉,20.31
新市鄉,13.06
安定鄉,25.58
山上鄉,18.6
玉井鄉,13.79
楠西鄉,17.32
南化鄉,14.02
左鎮鄉,9.86
仁德鄉,12.92
歸仁鄉,12.85
關廟鄉,14.66
龍崎鄉,9.12
永康鄉,11.59
鳳山市,10.39
岡山鎮,14.52
旗山鎮,14.36
美濃鎮,9.17
林園鄉,24.35
大寮鄉,16.49
大樹鄉,20.12
仁武鄉,15.81
大社鄉,20.24
鳥松鄉,14.26
橋頭鄉,19.88
燕巢鄉,22.35
田寮鄉,22.65
阿蓮鄉,24.78
路竹鄉,22.24
湖內鄉,20.25
茄萣鄉,23.9
永安鄉,21.52
彌陀鄉,28.24
梓官鄉,23.72
六龜鄉,14.97
甲仙鄉,13.47
杉林鄉,14.07
內門鄉,14.93
茂林鄉,7.09
桃源鄉,13.83
三民鄉,10.8
屏東市,11.66
潮州鎮,12.51
東港鎮,18.4
恆春鎮,15.56
萬丹鄉,18.37
長治鄉,13.6
麟洛鄉,6.64
九如鄉,16.29
里港鄉,16.27
鹽埔鄉,23.23
高樹鄉,17.72
萬巒鄉,12.31
內埔鄉,12.92
竹田鄉,8.77
新埤鄉,14.96
枋寮鄉,21.09
新園鄉,23.73
崁頂鄉,20.22
林邊鄉,16.3
南州鄉,15.99
佳冬鄉,17.1
琉球鄉,27.52
車城鄉,16.67
滿州鄉,17.76
枋山鄉,22.2
三地門鄉,9.5
霧臺鄉,10.98
瑪家鄉,8.68
泰武鄉,8.5
來義鄉,7.85
春日鄉,13.59
獅子鄉,9.35
牡丹鄉,6.99
臺東市,11.36
成功鎮,9.28
關山鎮,13.48
卑南鄉,16.09
大武鄉,13.85
太麻里鄉,14.76
東河鄉,11.71
長濱鄉,9.43
鹿野鄉,16.98
池上鄉,16.16
綠島鄉,14.46
延平鄉,11.04
海端鄉,10.28
達仁鄉,11.52
金峰鄉,8.39
蘭嶼鄉,15.87
花蓮市,9.99
鳳林鎮,11.81
玉里鎮,12.17
新城鄉,15.49
吉安鄉,10.37
壽豐鄉,13.89
光復鄉,10.95
豐濱鄉,7.85
瑞穗鄉,13.28
富里鄉,12.27
秀林鄉,8.18
萬榮鄉,7.93
卓溪鄉,11.58
馬公鎮,10.88
湖西鄉,12.98
白沙鄉,11.66
西嶼鄉,15.61
望安鄉,12.92
七美鄉,25.73
中正區,11.91
七堵區,10.93
暖暖區,10.7
仁愛區,10.92
中山區,14.13
安樂區,13.6
信義區,11.22
中區,5.3
東區,8.81
西區,6.66
南區,7.37
北區,7.04
西屯區,9.87
南屯區,9.89
北屯區,8.62
東區,8.56
南區,11.64
西區,10.5
北區,8.99
中區,5.57
安南區,20.96
安平區,11.53
松山區,5.45
大安區,4.33
古亭區,6.77
雙園區,9.09
龍山區,6.83
城中區,3.71
建成區,6.57
延平區,5.92
大同區,8.44
中山區,5.27
內湖區,8.24
南港區,8.32
木柵區,7.1
景美區,5.26
士林區,6.71
北投區,6.93
鹽埕區,8.49
鼓山區,11.51
左營區,9.64
楠梓區,10.96
三民區,8.81
新興區,6.96
前金區,7.77
苓雅區,8.39
前鎮區,10.5
旗津區,18.44
小港區,17.51
