town,use
板橋市,86.59
三重市,80.6
永和市,91.7
中和市,91.31
新莊市,86.74
新店市,93.38
樹林鎮,84.55
鶯歌鎮,82.52
三峽鎮,87.17
淡水鎮,89.6
汐止鎮,90.78
瑞芳鎮,91.47
土城鄉,87.59
蘆洲鄉,82.28
五股鄉,83.88
泰山鄉,86.9
林口鄉,87.77
深坑鄉,90.03
石碇鄉,89.27
坪林鄉,87.97
三芝鄉,91.4
石門鄉,92.57
八里鄉,92.31
平溪鄉,90.09
雙溪鄉,90.57
貢寮鄉,90.92
金山鄉,89.66
萬里鄉,93.13
烏來鄉,87.44
宜蘭市,85.94
羅東鎮,80.31
蘇澳鎮,87.71
頭城鎮,91.13
礁溪鄉,92.55
壯圍鄉,94.64
員山鄉,93.93
冬山鄉,91.8
五結鄉,94.02
三星鄉,93.87
大同鄉,95.61
南澳鄉,96.53
桃園市,79.16
中壢市,84.68
大溪鎮,89.52
楊梅鎮,87.38
蘆竹鄉,91
大園鄉,90.42
龜山鄉,86.96
八德鄉,89.26
龍潭鄉,88.94
平鎮鄉,89.04
新屋鄉,90.41
觀音鄉,92.43
復興鄉,93.76
新竹市,83.77
關西鎮,90.54
新埔鎮,90.9
竹東鎮,86.48
香山鄉,87.85
竹北鄉,88.7
湖口鄉,87.61
橫山鄉,92.43
新豐鄉,88.62
芎林鄉,92.53
寶山鄉,96.56
北埔鄉,90.08
峨眉鄉,94.63
尖石鄉,96.16
五峰鄉,96.76
苗栗鎮,86.28
苑裡鎮,90.55
通霄鎮,91.78
竹南鎮,86.05
頭份鎮,87.34
後龍鎮,92.71
卓蘭鎮,91.09
大湖鄉,91.42
公館鄉,92.73
銅鑼鄉,92.82
南庄鄉,92.82
頭屋鄉,92.18
三義鄉,88.13
西湖鄉,95.63
造橋鄉,94.13
三灣鄉,93.08
獅潭鄉,93.62
泰安鄉,96.8
豐原市,76.87
東勢鎮,88.09
大甲鎮,86.35
清水鎮,89.67
沙鹿鎮,84.17
梧棲鎮,91.11
后里鄉,90.05
神岡鄉,85.17
潭子鄉,86.55
大雅鄉,87.45
新社鄉,92.48
石岡鄉,91.53
外埔鄉,91.74
大安鄉,95.53
烏日鄉,88.29
大肚鄉,89.28
龍井鄉,92.16
霧峰鄉,88.63
太平鄉,85.22
大里鄉,83.85
和平鄉,93.84
彰化市,79.13
鹿港鎮,85.74
和美鎮,85.96
北斗鎮,87.3
員林鎮,82.92
溪湖鎮,85.99
田中鎮,86.97
二林鎮,90.83
線西鄉,94.93
伸港鄉,91.68
福興鄉,94.25
秀水鄉,91.18
花壇鄉,87.47
芬園鄉,91.26
大村鄉,92.34
埔鹽鄉,94.86
埔心鄉,91.38
永靖鄉,88.35
社頭鄉,89
二水鄉,90.43
田尾鄉,93.87
埤頭鄉,92.53
芳苑鄉,93.98
大城鄉,94.11
竹塘鄉,93.83
溪州鄉,93.48
南投鎮,90.72
埔里鎮,86.79
草屯鎮,87.67
竹山鎮,85.96
集集鎮,91.67
名間鄉,92.02
鹿谷鄉,89.57
中寮鄉,93.59
魚池鄉,89.29
國姓鄉,90.73
水里鄉,87.62
信義鄉,94.41
仁愛鄉,95.86
斗六鎮,87.33
斗南鎮,86.49
虎尾鎮,88.88
西螺鎮,89.36
土庫鎮,92.32
北港鎮,86.51
古坑鄉,94.22
大埤鄉,94.63
莿桐鄉,92
林內鄉,89.23
二崙鄉,94.33
崙背鄉,89.94
麥寮鄉,91.34
東勢鄉,93.83
褒忠鄉,90.59
臺西鄉,94.73
元長鄉,96.09
四湖鄉,95.18
口湖鄉,94.71
水林鄉,94.87
嘉義市,84.25
朴子鎮,90.21
布袋鎮,93.83
大林鎮,90.9
民雄鄉,91.41
溪口鄉,93.5
新港鄉,93.67
六腳鄉,95.62
東石鄉,97.21
義竹鄉,94.48
鹿草鄉,94.62
太保鄉,93.43
水上鄉,92.67
中埔鄉,90.96
竹崎鄉,92.7
梅山鄉,92.62
番路鄉,94.65
大埔鄉,91.55
吳鳳鄉,92.6
新營鎮,86.84
鹽水鎮,90.5
白河鎮,91.54
麻豆鎮,92.78
佳里鎮,87.84
新化鎮,89.84
善化鎮,91.39
學甲鎮,89.75
柳營鄉,92.79
後壁鄉,94.21
東山鄉,94.39
下營鄉,92.74
六甲鄉,91.05
官田鄉,93.82
大內鄉,95.05
西港鄉,90.71
七股鄉,94.86
將軍鄉,95
北門鄉,95.37
新市鄉,90.95
安定鄉,93.42
山上鄉,94.72
玉井鄉,87.41
楠西鄉,91.04
南化鄉,93.44
左鎮鄉,93.24
仁德鄉,88.87
歸仁鄉,92.35
關廟鄉,92.93
龍崎鄉,95.39
永康鄉,86.74
鳳山市,86.08
岡山鎮,90.09
旗山鎮,88.29
美濃鎮,93.45
林園鄉,90.67
大寮鄉,92.85
大樹鄉,91.72
仁武鄉,91.56
大社鄉,91.42
鳥松鄉,91.82
橋頭鄉,89.85
燕巢鄉,91.98
田寮鄉,95.75
阿蓮鄉,90.61
路竹鄉,89.12
湖內鄉,90.37
茄萣鄉,90.82
永安鄉,93.6
彌陀鄉,91.57
梓官鄉,90.9
六龜鄉,89.8
甲仙鄉,88.92
杉林鄉,94.37
內門鄉,93.94
茂林鄉,96.43
桃源鄉,95.39
三民鄉,99.76
屏東市,86.49
潮州鎮,83.5
東港鎮,88.96
恆春鎮,88.89
萬丹鄉,89.89
長治鄉,92.97
麟洛鄉,93.81
九如鄉,94.02
里港鄉,88.94
鹽埔鄉,92.55
高樹鄉,92.08
萬巒鄉,94.6
內埔鄉,89.48
竹田鄉,93.73
新埤鄉,94.49
枋寮鄉,88.22
新園鄉,92.22
崁頂鄉,93.83
林邊鄉,87.74
南州鄉,90.47
佳冬鄉,94.09
琉球鄉,92.52
車城鄉,92.99
滿州鄉,93.87
枋山鄉,90.62
三地門鄉,97.57
霧臺鄉,98.38
瑪家鄉,97.66
泰武鄉,97.68
來義鄉,96.63
春日鄉,98.34
獅子鄉,96.08
牡丹鄉,96.44
臺東市,86.67
成功鎮,91.02
關山鎮,89.64
卑南鄉,94.44
大武鄉,90.33
太麻里鄉,90.22
東河鄉,94.02
長濱鄉,91.97
鹿野鄉,91.57
池上鄉,87.37
綠島鄉,91.43
延平鄉,96.73
海端鄉,95.59
達仁鄉,97.89
金峰鄉,97.19
蘭嶼鄉,96.87
花蓮市,82.79
鳳林鎮,89.21
玉里鎮,86.57
新城鄉,89.12
吉安鄉,90.91
壽豐鄉,91.84
光復鄉,89.97
豐濱鄉,93.64
瑞穗鄉,87.47
富里鄉,90.71
秀林鄉,93.88
萬榮鄉,96.58
卓溪鄉,96.65
馬公鎮,84.48
湖西鄉,95.71
白沙鄉,95.26
西嶼鄉,94.77
望安鄉,96.61
七美鄉,93.8
中正區,88.88
七堵區,93.8
暖暖區,93.82
仁愛區,85.98
中山區,84.45
安樂區,94.43
信義區,93.58
中區,65.46
東區,83.62
西區,59.72
南區,83.36
北區,77.77
西屯區,84.37
南屯區,88.74
北屯區,85.86
東區,83.62
南區,83.36
西區,59.72
北區,77.77
中區,65.46
安南區,80.98
安平區,86.1
松山區,90.17
大安區,89.63
古亭區,86.67
雙園區,82.84
龍山區,69.53
城中區,75.19
建成區,67.21
延平區,68.26
大同區,79.61
中山區,84.45
內湖區,92.14
南港區,90.61
木柵區,91.3
景美區,92.7
士林區,89.65
北投區,92.79
鹽埕區,62.23
鼓山區,87.12
左營區,88.98
楠梓區,90.17
三民區,79.35
新興區,70.19
前金區,75.35
苓雅區,82.5
前鎮區,85.56
旗津區,91.75
小港區,92.22
