town,atayal
烏來鄉,38.5576
太平鄉,31.857
南澳鄉,81.8004
復興鄉,65.7808
關西鎮,0.7129
尖石鄉,67.7099
五峰鄉,58.6378
南庄鄉,1.816
泰安鄉,49.4731
和平鄉,25.4707
仁愛鄉,64.3141
吉安鄉,3.1675
秀林鄉,77.7582
萬里鄉,75.3776
卓溪鄉,22.9861
