town,ping
鳳林鎮,5.51
玉里鎮,6.64
新城鄉,4.74
吉安鄉,5.17
壽豐鄉,5.26
光復鄉,5.78
豐濱鄉,5.88
瑞穗鄉,6.13
富里鄉,6.02
秀林鄉,5.83
萬榮鄉,7.06
卓溪鄉,6.8
馬公鎮,6.25
湖西鄉,6.49
白沙鄉,6.77
西嶼鄉,6.15
望安鄉,7.35
七美鄉,6.74
中正區,6.11
七堵區,5.51
暖暖區,5.71
仁愛區,6.12
中山區,5.06
安樂區,5.87
信義區,5.42
中區,5.97
東區,5.54
西區,7.17
南區,6.54
北區,5.88
西屯區,5.89
南屯區,5.69
北屯區,5.67
東區,5.54
南區,6.54
西區,7.17
北區,5.88
中區,5.97
安南區,6.82
安平區,6.49
松山區,5.04
大安區,4.93
古亭區,5.29
雙園區,6.11
龍山區,6.65
城中區,6.3
建成區,6.28
延平區,6.24
大同區,6.39
中山區,5.06
內湖區,5.23
南港區,5.66
木柵區,5.39
景美區,4.91
士林區,5.26
北投區,5.18
鹽埕區,6.62
鼓山區,6.42
左營區,5.17
楠梓區,5.39
三民區,5.93
新興區,6.14
前金區,6.31
苓雅區,5.8
前鎮區,6.08
旗津區,6.66
小港區,5.34
