OBJECTID,town,women
1,板橋市,0.5585
2,三重市,0.5559
3,永和市,0.5932
4,中和市,0.5768
5,新莊市,0.5375
6,新店市,0.5723
7,樹林鎮,0.5323
8,鶯歌鎮,0.5273
9,三峽鎮,0.5112
10,淡水鎮,0.5392
11,汐止鎮,0.5406
12,瑞芳鎮,0.5357
13,土城鄉,0.5413
14,蘆洲鄉,0.5412
15,五股鄉,0.5353
16,泰山鄉,0.5308
17,林口鄉,0.5187
18,深坑鄉,0.5383
19,石碇鄉,0.4935
20,坪林鄉,0.469
21,三芝鄉,0.4919
22,石門鄉,0.4822
23,八里鄉,0.4974
24,平溪鄉,0.5115
25,雙溪鄉,0.5098
26,貢寮鄉,0.4808
27,金山鄉,0.4918
28,萬里鄉,0.5139
29,烏來鄉,0.5635
30,宜蘭市,0.5365
31,羅東鎮,0.5483
32,蘇澳鎮,0.5263
33,頭城鎮,0.5126
34,礁溪鄉,0.5202
35,壯圍鄉,0.5138
36,員山鄉,0.5056
37,冬山鄉,0.5291
38,五結鄉,0.5225
39,三星鄉,0.5219
40,大同鄉,0.4639
41,南澳鄉,0.495
42,桃園市,0.5384
43,中壢市,0.5426
44,大溪鎮,0.5162
45,楊梅鎮,0.5525
46,蘆竹鄉,0.5137
47,大園鄉,0.5134
48,龜山鄉,0.5441
49,八德鄉,0.5289
50,龍潭鄉,0.5273
51,平鎮鄉,0.5336
52,新屋鄉,0.5236
53,觀音鄉,0.5228
54,復興鄉,0.4652
55,新竹市,0.5434
56,關西鎮,0.5158
57,新埔鎮,0.5133
58,竹東鎮,0.5395
59,香山鄉,0.5164
60,竹北鄉,0.5236
61,湖口鄉,0.5259
62,橫山鄉,0.5164
63,新豐鄉,0.5104
64,芎林鄉,0.5207
65,寶山鄉,0.5024
66,北埔鄉,0.514
67,峨眉鄉,0.5135
68,尖石鄉,0.456
69,五峰鄉,0.4854
70,苗栗鎮,0.5327
71,苑裡鎮,0.5151
72,通霄鎮,0.4987
73,竹南鎮,0.5246
74,頭份鎮,0.5236
75,後龍鎮,0.4898
76,卓蘭鎮,0.5225
77,大湖鄉,0.5274
78,公館鄉,0.5212
79,銅鑼鄉,0.5138
80,南庄鄉,0.5139
81,頭屋鄉,0.5183
82,三義鄉,0.5141
83,西湖鄉,0.4948
84,造橋鄉,0.5152
85,三灣鄉,0.5226
86,獅潭鄉,0.5207
87,泰安鄉,0.5104
