town,xiao
板橋市,44.4
三重市,48.16
中和市,38.36
永和市,31.03
新莊市,47.86
新店市,31.34
樹林市,47.53
鶯歌鎮,49.11
三峽鎮,47.13
淡水鎮,37.16
汐止市,41.33
瑞芳鎮,40.34
土城市,46.41
蘆洲市,52.7
五股鄉,48.69
泰山鄉,40.38
林口鄉,36.5
深坑鄉,43.23
石碇鄉,39.58
坪林鄉,41.11
三芝鄉,42.41
石門鄉,41.66
八里鄉,47.8
平溪鄉,35.44
雙溪鄉,34.35
貢寮鄉,36.55
金山鄉,43.32
萬里鄉,42.31
烏來鄉,45.76
宜蘭市,38.08
羅東鎮,40.18
蘇澳鎮,40.41
頭城鎮,38.38
礁溪鄉,42.01
壯圍鄉,40.04
員山鄉,38.14
冬山鄉,42.76
五結鄉,45
三星鄉,42.61
大同鄉,58.83
南澳鄉,58.1
桃園市,40.47
中壢市,36
大溪鎮,41.74
楊梅鎮,37.83
蘆竹鄉,42.61
大園鄉,38.89
龜山鄉,37.33
八德市,47.54
龍潭鄉,39.22
平鎮市,41.38
新屋鄉,38.33
觀音鄉,36.93
復興鄉,53.42
竹北市,42.84
竹東鎮,42.57
新埔鎮,43.37
關西鎮,41.26
湖口鄉,35.23
新豐鄉,42.88
芎林鄉,43.3
橫山鄉,44.57
北埔鄉,41.31
寶山鄉,42.07
峨眉鄉,39.25
尖石鄉,61.43
五峰鄉,52.09
苗栗市,38.03
苑裡鎮,45.49
通霄鎮,45.8
竹南鎮,44.18
頭份鎮,43.28
後龍鎮,42.11
卓蘭鎮,47.71
大湖鄉,44.28
公館鄉,43.85
銅鑼鄉,43.38
南庄鄉,45.91
頭屋鄉,43.28
三義鄉,45.34
西湖鄉,41.31
造橋鄉,44.86
三灣鄉,45.2
獅潭鄉,44.56
泰安鄉,53.25
豐原市,45.41
東勢鎮,43.46
大甲鎮,46.32
清水鎮,47.21
沙鹿鎮,45.62
梧棲鎮,50.51
后里鄉,43.18
神岡鄉,46.23
潭子鄉,43.82
大雅鄉,43.26
新社鄉,37.67
石岡鄉,44.46
外埔鄉,45.8
大安鄉,52.08
烏日鄉,41.87
大肚鄉,46.43
龍井鄉,48.16
霧峰鄉,41.99
太平市,43.95
大里市,45.52
和平鄉,38.58
彰化市,44.41
鹿港鎮,51.59
和美鎮,53.26
線西鄉,50.5
伸港鄉,51.76
福興鄉,48.93
秀水鄉,46.66
花壇鄉,49.35
芬園鄉,43.22
員林鎮,44.77
溪湖鎮,46.42
田中鎮,42.37
大村鄉,46.27
埔鹽鄉,46.64
埔心鄉,48.06
永靖鄉,49.44
社頭鄉,46.71
二水鄉,44.44
北斗鎮,46.42
二林鎮,40.32
田尾鄉,45.02
埤頭鄉,43.25
芳苑鄉,35.37
大城鄉,34.16
竹塘鄉,41.65
溪州鄉,43.35
南投市,38.34
埔里鎮,44.4
草屯鎮,44
竹山鎮,45.22
集集鎮,44.03
名間鄉,48.67
鹿谷鄉,45.48
中寮鄉,42.23
魚池鄉,42.32
國姓鄉,44.19
水里鄉,44.41
信義鄉,57.59
仁愛鄉,60.84
斗六市,43.25
斗南鎮,51.57
虎尾鎮,44.01
西螺鎮,45.59
土庫鎮,46.28
北港鎮,42.72
古坑鄉,51.01
大埤鄉,46.1
莿桐鄉,51.37
林內鄉,48.33
二崙鄉,44.13
崙背鄉,51.44
麥寮鄉,48.14
東勢鄉,51.73
褒忠鄉,44.96
臺西鄉,47.15
元長鄉,47.35
四湖鄉,39.24
口湖鄉,44.14
水林鄉,42.22
太保市,45.55
朴子市,43.34
布袋鎮,41.21
大林鎮,37.18
民雄鄉,49.86
溪口鄉,43.61
新港鄉,47.79
六腳鄉,40.15
東石鄉,40.82
義竹鄉,47.02
鹿草鄉,46.86
水上鄉,40.27
中埔鄉,45.08
竹崎鄉,46.54
梅山鄉,50.65
番路鄉,44.27
大埔鄉,50.95
吳鳳鄉,50.52
新營市,34.83
鹽水鎮,36.66
白河鎮,39.61
柳營鄉,42.26
後壁鄉,43.49
東山鄉,42.36
麻豆鎮,41.65
下營鄉,42.15
六甲鄉,39.41
官田鄉,37.77
大內鄉,38.17
佳里鎮,44.57
學甲鎮,41.66
西港鄉,32.61
七股鄉,39.37
將軍鄉,43.02
北門鄉,41.07
新化鎮,41.6
善化鎮,41.96
新市鄉,45.76
安定鄉,44.07
山上鄉,43.83
玉井鄉,45.12
楠西鄉,44.66
南化鄉,48.43
左鎮鄉,52.27
仁德鄉,45.96
歸仁鄉,46.49
關廟鄉,48.29
龍崎鄉,53.29
永康市,43.94
鳳山市,38.63
林園鄉,39.87
大寮鄉,37.11
大樹鄉,36.69
大社鄉,41.51
仁武鄉,40.86
鳥松鄉,36.7
岡山鎮,33.34
