OBJECTID,town,unmarried
234,美濃鎮,124.0392
235,六龜鄉,140.0074
236,甲仙鄉,135.536
237,杉林鄉,143.5666
238,內門鄉,110.2046
239,茂林鄉,145.2899
240,桃源鄉,127.5395
241,三民鄉,137.6328
242,屏東市,117.974
243,潮州鎮,120.7087
244,東港鎮,119.5511
245,恆春鎮,130.3639
246,萬丹鄉,118.3858
247,長治鄉,123.0041
248,麟洛鄉,122.9592
249,九如鄉,124.9887
250,里港鄉,118.0124
251,鹽埔鄉,112.9333
252,高樹鄉,136.8905
253,萬巒鄉,196.7062
254,內埔鄉,132.1234
255,竹田鄉,204.1137
256,新埤鄉,137.8579
257,枋寮鄉,140.5568
258,新園鄉,122.8873
259,崁頂鄉,123.249
260,林邊鄉,126.4625
261,南州鄉,127.9177
262,佳冬鄉,130.9369
263,琉球鄉,149.1754
264,車城鄉,156.1329
265,滿州鄉,170.7668
266,枋山鄉,185.6566
267,三地門鄉,125.6117
268,霧臺鄉,160.3989
269,瑪家鄉,154.1591
270,泰武鄉,140.8377
271,來義鄉,130.7636
272,春日鄉,177.6678
273,獅子鄉,164.0604
274,牡丹鄉,136.3636
275,臺東市,148.0245
276,成功鎮,149.2116
277,關山鎮,135.2387
278,卑南鄉,236.5752
279,鹿野鄉,158.8374
280,池上鄉,143.1835
281,東河鄉,239.8394
282,長濱鄉,171.3456
283,太麻里鄉,140.942
284,大武鄉,145.6227
285,綠島鄉,248
286,海端鄉,130.2292
287,延平鄉,138.964
288,金峰鄉,134.3816
289,達仁鄉,151.3274
290,蘭嶼鄉,148.6373
291,花蓮市,121.9524
292,鳳林鎮,155.9569
293,玉里鎮,189.0172
294,新城鄉,235.6665
295,吉安鄉,117.3397
296,壽豐鄉,115.9847
297,光復鄉,153.6847
298,豐濱鄉,173.6709
299,瑞穗鄉,141.6667
300,富里鄉,137.1234
301,秀林鄉,140.5706
302,萬榮鄉,130.8276
303,卓溪鄉,139.8206
304,馬公市,191.8412
305,湖西鄉,395.1364
306,白沙鄉,191.1733
307,西嶼鄉,193.3633
308,望安鄉,169.5364
309,七美鄉,127.551
310,中正區,158.8895
311,七堵區,121.8014
312,暖暖區,119.1356
313,仁愛區,119.4461
314,中山區,125.4778
315,安樂區,114.2493
316,信義區,114.1386
317,東區,120.7745
318,北區,125.4198
319,香山區,119.473
320,中區,109.9864
321,東區,115.9665
322,南區,108.7486
323,西區,102.5209
324,北區,103.0497
325,西屯區,111.414
326,南屯區,124.5488
327,北屯區,105.8926
328,東區,111.7923
329,西區,111.2833
330,東區,113.1728
331,南區,120.0244
332,西區,111.325
333,北區,109.0643
334,中區,91.1898
335,安南區,116.7679
336,安平區,108.4252
337,松山區,109.8536
338,信義區,107.8796
339,大安區,106.9033
340,中山區,105.6975
341,中正區,114.3098
342,大同區,109.8227
343,萬華區,114.4234
344,文山區,107.4719
345,南港區,112.5638
346,內湖區,103.5757
347,士林區,102.8896
348,北投區,105.6799
349,鹽埕區,116.5557
350,鼓山區,130.9435
351,左營區,159.4109
352,楠梓區,101.8778
353,三民區,106.8479
354,新興區,106.6202
355,前金區,107.0555
356,苓雅區,109.5017
357,前鎮區,111.5194
358,旗津區,135.3633
359,小港區,119.3394
