town,priv
豐濱鄉,92.23
瑞穗鄉,87.57
富里鄉,87.9
秀林鄉,86.6
萬榮鄉,78.74
卓溪鄉,93.15
馬公市,86.61
湖西鄉,91.57
白沙鄉,91.96
西嶼鄉,91.58
望安鄉,88.42
七美鄉,92.56
中正區,69.17
七堵區,87.52
暖暖區,84.09
仁愛區,85.32
中山區,72.58
安樂區,88.52
信義區,76.4
東區,75.98
北區,75.69
香山區,83.25
中區,64.16
東區,75.98
南區,79.05
西區,78.45
北區,75.69
西屯區,70.67
南屯區,79.52
北屯區,78.24
東區,75.98
西區,78.45
東區,75.98
南區,79.05
西區,78.45
北區,75.69
中區,64.16
安南區,85.09
安平區,81.33
松山區,76.36
信義區,76.4
大安區,77.78
中山區,72.58
中正區,69.17
大同區,75.19
萬華區,73.03
文山區,78.25
南港區,75.78
內湖區,78.34
士林區,75.45
北投區,76.94
鹽埕區,73.45
鼓山區,81.84
左營區,73.78
楠梓區,81.7
三民區,78.36
新興區,76
前金區,72.47
苓雅區,76.07
前鎮區,77
旗津區,82.31
小港區,83.85
