OBJECTID,town,divorced
231,彌陀鄉,0.5698
232,梓官鄉,0.4983
233,旗山鎮,1.1523
234,美濃鎮,0.5312
235,六龜鄉,1.2002
236,甲仙鄉,0.8015
237,杉林鄉,0.687
238,內門鄉,0.5887
239,茂林鄉,1.3799
240,桃源鄉,0.5205
241,三民鄉,0.7869
242,屏東市,1.2869
243,潮州鎮,0.8995
244,東港鎮,0.5965
245,恆春鎮,0.7256
246,萬丹鄉,0.3842
247,長治鄉,0.9188
248,麟洛鄉,1.6634
249,九如鄉,0.4053
250,里港鄉,0.5938
251,鹽埔鄉,0.658
252,高樹鄉,0.6215
253,萬巒鄉,0.5074
254,內埔鄉,1.7007
255,竹田鄉,0.4881
256,新埤鄉,0.5851
257,枋寮鄉,1.0341
258,新園鄉,0.293
259,崁頂鄉,0.4258
260,林邊鄉,0.5449
261,南州鄉,0.6074
262,佳冬鄉,0.5309
263,琉球鄉,1.3073
264,車城鄉,0.6155
265,滿州鄉,0.746
266,枋山鄉,0.7041
267,三地鄉,1.3858
268,霧臺鄉,1.3905
269,瑪家鄉,1.702
270,泰武鄉,0.6567
271,來義鄉,2.6832
272,春日鄉,1.6706
273,獅子鄉,1.7517
274,牡丹鄉,0.6682
275,臺東鎮,1.8838
276,成功鎮,1.7972
277,關山鎮,1.7356
278,卑南鄉,2.6405
279,鹿野鄉,1.4276
280,池上鄉,3.2258
281,東河鄉,1.9712
282,長濱鄉,1.2595
283,太麻里鄉,1.8657
284,大武鄉,1.8865
285,綠島鄉,2.0115
286,海端鄉,0.9145
287,延平鄉,1.1555
288,金峰鄉,1.5705
289,達仁鄉,1.826
290,蘭嶼鄉,2.3119
291,花蓮市,2.8423
292,鳳林鎮,3.1488
293,玉里鎮,2.4154
294,新城鄉,2.9856
295,吉安鄉,2.0824
296,壽豐鄉,2.5539
297,光復鄉,1.5244
298,豐濱鄉,1.702
299,瑞穗鄉,1.1809
300,富里鄉,1.4301
301,秀林鄉,2.1182
302,萬榮鄉,0.882
303,卓溪鄉,1.4486
304,馬公鎮,1.4304
305,湖西鄉,1.5658
306,白沙鄉,1.5916
307,西嶼鄉,1.5474
308,望安鄉,0.3383
309,七美鄉,0.4977
310,中正區,2.8603
311,七堵區,1.8421
312,暖暖區,1.5351
313,仁愛區,2.5409
314,中山區,2.3553
315,安樂區,2.2247
316,信義區,2.7403
317,新竹市,1.6886
318,香山鄉,0.8496
319,中區,2.337
320,東區,1.5204
321,南區,1.1708
322,西區,1.215
323,北區,1.6799
324,西屯區,0.8396
325,南屯區,0.661
326,北屯區,0.7298
327,嘉義市,1.3156
328,東區,2.6264
329,南區,1.4627
330,西區,1.7691
331,北區,1.9189
332,中區,1.8046
333,安南區,0.5445
334,安平區,1.3607
335,鹽埕區,1.9339
336,鼓山區,1.2974
337,左營區,1.547
338,楠梓區,1.2838
339,三民區,1.3865
340,新興區,1.7704
341,前金區,1.6049
342,苓雅區,1.2556
343,前鎮區,0.9474
344,旗津區,1.2689
345,小港鄉,0.9948
346,大安區,3.3658
347,大同區,2.2143
348,松山區,2.0936
349,南港鎮,1.8448
350,內湖鄉,1.694
351,中山區,2.8468
352,北投鎮,1.7806
353,士林鎮,1.8045
354,城中區,3.3743
355,延平區,2.1927
356,建成區,2.2703
357,古亭區,2.5211
358,龍山區,2.2707
359,雙園區,2.1261
360,景美鎮,1.7546
361,木柵鄉,1.7203
