town,xiao
板橋鎮,47.8751
三重市,54.6675
中和鄉,43.7563
永和鎮,35.6508
新莊鎮,52.4079
新店鎮,45.9357
樹林鎮,52.1863
鶯歌鎮,54.5561
三峽鎮,54.9188
淡水鎮,50.1417
汐止鎮,54.3462
瑞芳鎮,51.1479
土城鄉,54.9343
蘆洲鄉,57.5433
五股鄉,59.2661
泰山鄉,45.5872
林口鄉,52.2844
深坑鄉,58.7728
石碇鄉,56.4933
坪林鄉,58.5923
三芝鄉,47.3498
石門鄉,43.3008
八里鄉,57.8478
平溪鄉,52.6159
雙溪鄉,43.5556
貢寮鄉,47.3501
金山鄉,45.8788
萬里鄉,47.1881
烏來鄉,62.2084
宜蘭市,42.2379
羅東鎮,45.7107
頭城鎮,48.2076
蘇澳鎮,42.6464
礁溪鄉,46.9075
壯圍鄉,47.3308
員山鄉,41.622
冬山鄉,52.0043
五結鄉,56.5457
三星鄉,50.8625
大同鄉,67.2657
南澳鄉,69.3182
桃園鎮,44.5868
中壢鎮,45.4826
大溪鎮,50.7001
楊梅鎮,48.6001
蘆竹鄉,44.8884
大園鄉,44.4835
龜山鄉,51.9128
八德鄉,53.4141
龍潭鄉,50.5514
平鎮鄉,46.5992
新屋鄉,52.095
觀音鄉,49.418
復興鄉,62.6087
竹北鄉,55.3665
竹東鎮,52.0317
新埔鎮,56.9465
關西鎮,59.7475
湖口鄉,48.4198
新豐鄉,50.9691
芎林鄉,53.7193
橫山鄉,59.0001
北埔鄉,54.2333
寶山鄉,58.8218
峨眉鄉,54.5918
尖石鄉,61.2697
五峰鄉,65.8874
苗栗鎮,46.6552
苑裡鎮,52.4029
通霄鎮,52.0679
竹南鎮,47.3161
頭份鎮,52.1989
後龍鎮,50.4041
卓蘭鎮,58.4092
大湖鄉,57.419
公館鄉,58.0953
銅鑼鄉,56.9428
南庄鄉,62.0079
頭屋鄉,61.7689
三義鄉,60.1835
西湖鄉,56.6093
造橋鄉,54.6492
三灣鄉,60.6246
獅潭鄉,63.0578
泰安鄉,66.4746
豐原鎮,52.6403
東勢鎮,55.5443
大甲鎮,51.3674
清水鎮,49.8222
沙鹿鎮,49.2099
梧棲鎮,51.2158
后里鄉,52.257
神岡鄉,56.2428
潭子鄉,57.2124
大雅鄉,54.4834
新社鄉,53.3424
石岡鄉,56.553
外埔鄉,52.7637
大安鄉,63.5062
烏日鄉,51.0972
大肚鄉,53.6699
龍井鄉,51.8722
霧峰鄉,47.8343
太平鄉,52.5599
大里鄉,51.0561
和平鄉,60.2594
彰化市,47.1197
鹿港鎮,52.0231
和美鎮,53.2959
線西鄉,51.6968
伸港鄉,46.3656
福興鄉,47.7678
秀水鄉,51.1352
花壇鄉,52.4068
芬園鄉,48.0434
員林鎮,49.7987
溪湖鎮,48.0123
田中鎮,52.379
大村鄉,50.3034
埔鹽鄉,49.4911
埔心鄉,53.0565
永靖鄉,55.8703
社頭鄉,52.59
二水鄉,54.8174
北斗鎮,51.3046
二林鎮,40.1433
田尾鄉,51.8345
埤頭鄉,48.1109
芳苑鄉,35.299
大城鄉,31.6959
竹塘鄉,51.2337
溪州鄉,44.1283
南投鎮,42.4539
埔里鎮,55.4045
草屯鎮,50.1783
竹山鎮,54.2326
集集鎮,53.5584
名間鄉,59.6214
鹿谷鄉,60.1049
中寮鄉,53.6885
魚池鄉,56.0977
國姓鄉,59.4533
水里鄉,54.9296
信義鄉,61.579
仁愛鄉,67.9554
斗六鎮,51.3417
斗南鎮,60.3233
虎尾鎮,48.9749
西螺鎮,51.8541
土庫鎮,49.3137
北港鎮,47.5491
古坑鄉,71.6585
大埤鄉,54.417
莿桐鄉,57.7783
林內鄉,57.0976
二崙鄉,50.2685
崙背鄉,54.6574
麥寮鄉,43.9305
東勢鄉,57.4854
褒忠鄉,45.0544
臺西鄉,46.7181
元長鄉,49.0728
四湖鄉,36.6682
口湖鄉,37.7222
水林鄉,43.9942
太保市,50.4375
朴子鎮,47.9702
布袋鎮,44.3199
大林鎮,50.8313
民雄鄉,53.4596
溪口鄉,50.2986
新港鄉,52.6064
六腳鄉,48.0697
東石鄉,46.5661
義竹鄉,50.7968
鹿草鄉,54.4336
水上鄉,49.7046
中埔鄉,54.6192
竹崎鄉,60.1013
梅山鄉,63.631
番路鄉,54.7654
大埔鄉,63.1043
吳鳳鄉,58.0578
新營鎮,36.0006
鹽水鎮,42.5075
白河鎮,50.5635
柳營鄉,42.6667
後壁鄉,43.6406
東山鄉,43.783
麻豆鎮,45.0037
下營鄉,48.5018
六甲鄉,49.9381
官田鄉,49.5914
大內鄉,55.8668
佳里鎮,43.0966
學甲鄉,43.6602
西港鄉,45.086
七股鄉,42.6258
將軍鄉,45.4358
北門鄉,49.5642
新化鎮,56.507
善化鎮,48.5681
新市鄉,53.2672
安定鄉,39.9988
山上鄉,48.2998
玉井鄉,49.7385
楠西鄉,49.749
南化鄉,59.5932
左鎮鄉,61.4504
仁德鄉,44.3444
歸仁鄉,53.2144
關廟鄉,53.9567
龍崎鄉,71.3248
永康鄉,50.8267
鳳山鎮,41.8546
林園鄉,41.0331
大寮鄉,43.2761
大樹鄉,50.3956
大社鄉,45.0491
仁武鄉,50.3564
鳥松鄉,50.481
岡山鎮,34.5435
橋頭鄉,39.1375
燕巢鄉,49.2415
田寮鄉,48.531
阿蓮鄉,42.3855
路竹鄉,39.3782
湖內鄉,45.2244
茄萣鄉,45.5718
永安鄉,45.7213
彌陀鄉,36.6896
梓官鄉,40.8116
旗山鎮,46.7774
美濃鎮,55.5695
六龜鄉,60.8821
甲仙鄉,68.6141
杉林鄉,60.6402
內門鄉,61.9166
茂林鄉,69.6335
桃源鄉,70.7254
三民鄉,64.4485
屏東市,41.3457
潮州鎮,47.4321
東港鎮,45.0759
恆春鎮,51.0785
萬丹鄉,49.3063
長治鄉,53.9264
麟洛鄉,57.2186
九如鄉,56.7316
里港鄉,50.2532
鹽埔鄉,43.6302
高樹鄉,53.1593
萬巒鄉,52.1117
內埔鄉,54.2755
竹田鄉,57.6967
新埤鄉,56.8538
枋寮鄉,45.9456
新園鄉,42.7808
崁頂鄉,45.9185
林邊鄉,48.0099
南州鄉,44.4815
佳冬鄉,49.8823
琉球鄉,46.7023
車城鄉,54.1019
滿州鄉,56.9248
枋山鄉,48.1139
三地鄉,75.4226
霧臺鄉,72.8646
瑪家鄉,71.3629
泰武鄉,77.3754
來義鄉,78.6511
春日鄉,72.4312
獅子鄉,62.3061
牡丹鄉,76.9159
臺東鎮,47.4221
成功鎮,69.9096
關山鎮,57.6573
卑南鄉,57.1399
鹿野鄉,57.8289
池上鄉,57.3699
東河鄉,64.3494
長濱鄉,70.7354
太麻里鄉,59.9125
大武鄉,59.4802
綠島鄉,66.3012
海端鄉,68.8862
延平鄉,69.3685
金峰鄉,63.9558
達仁鄉,71.3877
蘭嶼鄉,62.7796
花蓮市,43.258
鳳林鎮,59.989
玉里鎮,58.496
新城鄉,55.6786
吉安鄉,59.7367
壽豐鄉,62.1444
光復鄉,61.778
豐濱鄉,78.0615
瑞穗鄉,62.0988
富里鄉,60.6636
秀林鄉,72.8378
萬榮鄉,79.8825
卓溪鄉,66.586
馬公鎮,50.5805
湖西鄉,64.0898
白沙鄉,64.9743
西嶼鄉,50.8116
望安鄉,40.2282
七美鄉,45.5572
中正區,43.0553
七堵區,50.4866
暖暖區,44.6738
仁愛區,45.5461
中山區,48.0956
安樂區,48.1348
信義區,36.2308
新竹市,43.3569
香山鄉,48.2098
中區,40.9795
東區,46.1189
南區,45.8058
西區,43.2479
北區,40.5569
西屯區,49.5051
南屯區,59.8826
北屯區,55.7464
嘉義市,42.6909
東區,40.5891
南區,44.215
西區,51.3144
北區,45.9713
中區,38.8773
安南區,44.3899
安平區,56.436
鹽埕區,47.7118
鼓山區,51.2048
左營區,39.8958
楠梓區,43.0721
三民區,49.1767
新興區,42.6047
前金區,44.3339
苓雅區,47.4706
前鎮區,49.5665
旗津區,53.0169
小港鄉,42.4459
大安區,27.9899
大同區,49.8336
松山區,40.6921
南港鎮,49.4033
內湖鄉,50.0068
中山區,36.0761
北投鎮,45.9089
士林鎮,47.6541
城中區,30.1648
延平區,43.2371
建成區,45.9145
古亭區,37.5308
龍山區,44.3082
雙園區,51.2022
景美鎮,46.801
木柵鄉,38.1777
