OBJECTID,town,ratio
1,板橋市,102.4512
2,三重市,102.0549
3,中和市,103.1061
4,永和市,98.0388
5,新莊市,102.1528
6,新店市,105.2101
7,樹林市,107.2606
8,鶯歌鎮,106.7402
9,三峽鎮,115.274
10,淡水鎮,113.0556
11,汐止市,104.6786
12,瑞芳鎮,107.67
13,土城市,112.3429
14,蘆洲市,103.8596
15,五股鄉,111.1931
16,泰山鄉,113.991
17,林口鄉,119.8144
18,深坑鄉,109.0641
19,石碇鄉,135.4393
20,坪林鄉,147.6923
21,三芝鄉,124.6932
22,石門鄉,132.0207
23,八里鄉,111.2416
24,平溪鄉,116.4917
25,雙溪鄉,112.4902
26,貢寮鄉,112.7673
27,金山鄉,111.8099
28,萬里鄉,122.8746
29,烏來鄉,114.993
30,宜蘭市,107.8686
31,羅東鎮,99.5893
32,蘇澳鎮,114.7059
33,頭城鎮,102.3825
34,礁溪鄉,106.165
35,壯圍鄉,107.5176
36,員山鄉,116.7312
37,冬山鄉,104.16
38,五結鄉,104.2562
39,三星鄉,110.2102
40,大同鄉,122.1544
41,南澳鄉,119.852
42,桃園市,101.8238
43,中壢市,112.6062
44,大溪鎮,118.0631
45,楊梅鎮,117.0859
46,蘆竹鄉,109.3819
47,大園鄉,120.5683
48,龜山鄉,127.6332
49,八德市,118.9679
50,龍潭鄉,125.6286
51,平鎮市,113.185
52,新屋鄉,111.8121
53,觀音鄉,117.4016
54,復興鄉,122.4853
55,竹北市,104.1308
56,竹東鎮,105.0725
57,新埔鎮,108.7191
58,關西鎮,131.4037
59,湖口鄉,147.5153
60,新豐鄉,109.747
61,芎林鄉,109.5043
62,橫山鄉,113.6344
63,北埔鄉,112.1282
64,寶山鄉,114.9989
65,峨眉鄉,113.5571
66,尖石鄉,121.2601
67,五峰鄉,140.4968
68,苗栗市,109.5114
69,苑裡鎮,106.2204
70,通霄鎮,110.3243
71,竹南鎮,104.7967
72,頭份鎮,105.2202
73,後龍鎮,108.719
74,卓蘭鎮,109.0716
75,大湖鄉,109.1078
76,公館鄉,110.1498
77,銅鑼鄉,110.3073
78,南庄鄉,118.3543
79,頭屋鄉,108.8961
80,三義鄉,108.8878
81,西湖鄉,107.738
82,造橋鄉,107.8452
83,三灣鄉,109.8124
84,獅潭鄉,114.807
85,泰安鄉,130.7268
86,豐原市,101.1165
87,東勢鎮,106.8388
88,大甲鎮,103.3852
89,清水鎮,107.2856
90,沙鹿鎮,93.5877
91,梧棲鎮,103.0151
92,后里鄉,121.7277
93,神岡鄉,123.3941
94,潭子鄉,105.5583
95,大雅鄉,134.2445
96,新社鄉,145.52
97,石岡鄉,111.8143
98,外埔鄉,111.3297
99,大安鄉,107.9917
100,烏日鄉,119.9724
101,大肚鄉,103.3022
102,龍井鄉,104.6292
103,霧峰鄉,102.8569
104,太平市,111.9291
105,大里市,103.3935
106,和平鄉,161.6574
107,彰化市,101.9629
108,鹿港鎮,102.8637
109,和美鎮,103.56
110,線西鄉,105.085
111,伸港鄉,106.3315
112,福興鄉,106.3311
113,秀水鄉,103.2519
114,花壇鄉,104.9045
115,芬園鄉,106.8358
116,員林鎮,101.0694
117,溪湖鎮,102.8841
118,田中鎮,125.4591
119,大村鄉,105.9894
120,埔鹽鄉,104.8421
121,埔心鄉,104.755
122,永靖鄉,102.9638
123,社頭鄉,102.3854
124,二水鄉,104.9802
125,北斗鎮,100.6982
126,二林鎮,103.486
127,田尾鄉,106.7663
128,埤頭鄉,112.4578
129,芳苑鄉,108.4562
130,大城鄉,106.9945
131,竹塘鄉,107.006
132,溪州鄉,107.4318
133,南投市,107.3999
134,埔里鎮,106.0198
135,草屯鎮,101.8127
136,竹山鎮,104.0379
137,集集鎮,113.8962
138,名間鄉,107.5086
139,鹿谷鄉,107.6485
140,中寮鄉,110.55
141,魚池鄉,111.8719
142,國姓鄉,116.3022
143,水里鄉,106.754
144,信義鄉,118.3784
145,仁愛鄉,121.6075
146,斗六市,110.1829
147,斗南鎮,102.9088
148,虎尾鎮,109.4151
149,西螺鎮,101.6098
150,土庫鎮,104.5552
151,北港鎮,105.0526
152,古坑鄉,105.5463
153,大埤鄉,106.4653
154,莿桐鄉,105.0222
155,林內鄉,103.912
156,二崙鄉,109.0106
157,崙背鄉,106.0408
158,麥寮鄉,108.5192
159,東勢鄉,107.0555
160,褒忠鄉,106.3386
161,臺西鄉,107.7876
162,元長鄉,107.6784
163,四湖鄉,111.1059
164,口湖鄉,107.6015
165,水林鄉,108.9836
166,太保市,106.4307
167,朴子市,103.7388
168,布袋鎮,105.4621
169,大林鎮,122.7573
170,民雄鄉,106.3593
171,溪口鄉,107.1916
172,新港鄉,107.1227
173,六腳鄉,107.2543
174,東石鄉,109.9734
175,義竹鄉,104.3745
176,鹿草鄉,107.1981
177,水上鄉,129.7119
