town,xiao
板橋區,13.69
三重區,17.07
中和區,11.9
永和區,8.8
新莊區,13.34
新店區,11.83
樹林區,13.66
鶯歌區,17.95
三峽區,15.29
淡水區,10.25
汐止區,9.59
瑞芳區,30.82
土城區,13.68
蘆洲區,13.66
五股區,15.36
泰山區,9.41
林口區,10.7
深坑區,14.49
石碇區,28.74
坪林區,42.96
三芝區,21.27
石門區,32.42
八里區,17.77
平溪區,45
雙溪區,44.83
貢寮區,43.82
金山區,28.48
萬里區,33.57
烏來區,20.04
松山區,6.22
信義區,10.77
大安區,5.06
中山區,7.99
中正區,8.26
大同區,13.54
萬華區,16.76
文山區,8.7
南港區,13.49
內湖區,8.97
士林區,12.2
北投區,12.32
七堵區,20.94
暖暖區,13.69
仁愛區,20.1
中山區,20.21
安樂區,16.95
信義區,13.29
東區,10.56
北區,14.35
香山區,14.34
宜蘭市,17.64
羅東鎮,17.37
蘇澳鎮,28.33
頭城鎮,27.4
礁溪鄉,27.44
壯圍鄉,33.04
員山鄉,26.8
冬山鄉,24.5
五結鄉,27.05
三星鄉,27.71
大同鄉,26.32
南澳鄉,26.37
桃園市,11.37
中壢市,11.33
大溪鎮,20.62
楊梅市,13.87
蘆竹鄉,11.69
大園鄉,18.38
龜山鄉,13.05
八德市,17.02
龍潭鄉,13.83
平鎮市,13
新屋鄉,22.17
觀音鄉,19.37
復興鄉,32.53
竹北市,12.57
竹東鎮,14.48
新埔鎮,21.56
關西鎮,24.69
湖口鄉,10.67
新豐鄉,14.85
芎林鄉,18.56
橫山鄉,27.73
北埔鄉,27.97
寶山鄉,19.72
峨眉鄉,31.39
尖石鄉,30
五峰鄉,32.25
中區,17.41
東區,14.19
南區,9.16
西區,9.76
北區,10.37
西屯區,8.58
南屯區,8.99
北屯區,10.87
豐原區,18.25
東勢區,24.68
大甲區,23.01
清水區,24.38
沙鹿區,17.15
梧棲區,20.07
后里區,21.98
神岡區,20.77
潭子區,14.76
大雅區,14.68
新社區,23.85
石岡區,25.72
外埔區,26.61
大安區,33.54
烏日區,15.8
大肚區,21.29
