town,spec
玉里鎮,4.61
新城鄉,4.93
吉安鄉,4.53
壽豐鄉,2.3
光復鄉,3.7
豐濱鄉,2.24
瑞穗鄉,2.91
富里鄉,2.79
秀林鄉,2.61
萬榮鄉,1.43
卓溪鄉,2.79
馬公鎮,7.61
湖西鄉,7.69
白沙鄉,4.13
西嶼鄉,4.21
望安鄉,0.93
七美鄉,0.65
中正區,5.12
七堵區,5.32
暖暖區,6.52
仁愛區,6.13
中山區,2.98
安樂區,4.32
信義區,8.14
新竹市,10.06
香山鄉,2.53
中區,9.46
東區,7.63
南區,10.37
西區,11.47
北區,11.61
西屯區,4.91
南屯區,2.89
北屯區,4.15
嘉義市,9.39
東區,13.06
南區,7.6
西區,5.51
北區,7.33
中區,12.5
安南區,1.41
安平區,3.53
鹽埕區,5.28
鼓山區,4.73
左營區,8.4
楠梓區,8.88
三民區,7.17
新興區,10.08
前金區,8.1
苓雅區,5.75
前鎮區,5.17
旗津區,2.5
小港鄉,4.75
大安區,12.64
大同區,5.91
松山區,10.2
南港鎮,5.63
內湖鄉,10.15
中山區,8.09
北投鎮,8.4
士林鎮,6.33
城中區,11.85
延平區,5.76
建成區,5.83
古亭區,9.51
龍山區,6.41
雙園區,4.85
景美鎮,7.39
木柵鄉,9.67
