OBJECTID,town,pop_den
1,板橋市,24652.815
2,三重市,21812.533
3,中和市,21624.31
4,永和市,40355.664
5,新莊市,18586.989
6,新店市,2365.577
7,樹林市,4970.441
8,鶯歌鎮,3699.796
9,三峽鎮,453.724
10,淡水鎮,2064.864
11,汐止市,2644.291
12,瑞芳鎮,661.241
13,土城市,8110.813
14,蘆洲市,23885.366
15,五股鄉,2210.994
16,泰山鄉,4115.089
17,林口鄉,1023.571
18,深坑鄉,1176.768
19,石碇鄉,53.75
20,坪林鄉,28.346
21,三芝鄉,358.57
22,石門鄉,183.32
23,八里鄉,964.424
24,平溪鄉,72.093
25,雙溪鄉,61.273
26,貢寮鄉,120.041
27,金山鄉,431.809
28,萬里鄉,278.052
29,烏來鄉,10.378
30,宜蘭市,3160.731
31,羅東鎮,5378.72
32,蘇澳鎮,549.273
33,頭城鎮,373.437
34,礁溪鄉,352.361
35,壯圍鄉,642.453
36,員山鄉,237.296
37,冬山鄉,569.955
38,五結鄉,914.232
39,三星鄉,239.421
40,大同鄉,7.521
41,南澳鄉,6.458
42,桃園市,9274.074
43,中壢市,4518.059
44,大溪鎮,800.113
45,楊梅鎮,1481.829
46,蘆竹鄉,1493.486
47,大園鄉,952.716
48,龜山鄉,1947.625
49,八德市,5011.313
50,龍潭鄉,1501.123
51,平鎮市,4573.425
52,新屋鄉,560.547
53,觀音鄉,626.657
54,復興鄉,28.715
55,竹北市,1854.23
56,竹東鎮,1607.926
57,新埔鎮,506.526
58,關西鎮,271.92
59,湖口鄉,1324.01
60,新豐鄉,1078.256
61,芎林鄉,543.723
62,橫山鄉,215.878
63,北埔鄉,188.705
64,寶山鄉,205.236
65,峨眉鄉,127.029
66,尖石鄉,14.561
67,五峰鄉,17.082
68,苗栗市,2385.703
69,苑裡鎮,681.255
70,通霄鎮,349.175
71,竹南鎮,1798.609
72,頭份鎮,1670.721
73,後龍鎮,555.486
74,卓蘭鎮,214.768
75,大湖鄉,169.446
76,公館鄉,448.093
77,銅鑼鄉,244.717
78,南庄鄉,67.412
79,頭屋鄉,222.418
80,三義鄉,251.534
81,西湖鄉,189.289
82,造橋鄉,307.688
83,三灣鄉,132.102
84,獅潭鄉,59.284
85,泰安鄉,7.267
86,豐原市,3715.458
87,東勢鎮,516.46
88,大甲鎮,1276.683
89,清水鎮,1115.236
90,沙鹿鎮,1859.92
91,梧棲鎮,1979.696
92,后里鄉,992.109
93,神岡鄉,1755.407
94,潭子鄉,3692.137
95,大雅鄉,2651.809
96,新社鄉,350.164
97,石岡鄉,823.584
98,外埔鄉,730.397
99,大安鄉,714.258
100,烏日鄉,1622.787
101,大肚鄉,1476.347
102,龍井鄉,1661.106
103,霧峰鄉,695.112
104,太平市,1429.936
105,大里市,6149.437
106,和平鄉,10.158
107,彰化市,3389.592
108,鹿港鎮,1809.021
109,和美鎮,2175.699
110,線西鄉,1214.313
111,伸港鄉,1185.416
112,福興鄉,956.665
113,秀水鄉,1245.965
114,花壇鄉,1260.668
115,芬園鄉,685.236
116,員林鎮,3009.279
117,溪湖鎮,1689.945
118,田中鎮,1299.612
119,大村鄉,1261.73
120,埔鹽鄉,868.731
121,埔心鄉,1604.938
122,永靖鄉,1864.549
123,社頭鄉,1201.532
124,二水鄉,476.138
125,北斗鎮,1621.126
126,二林鎮,592.792
127,田尾鄉,1103.046
128,埤頭鄉,723.601
129,芳苑鄉,392.101
130,大城鄉,298.261
131,竹塘鄉,366.176
132,溪州鄉,433.266
133,南投市,1355.549
134,埔里鎮,462.666
135,草屯鎮,886.066
136,竹山鎮,204.923
137,集集鎮,297.609
138,名間鄉,494.694
139,鹿谷鄉,124.329
140,中寮鄉,100.3
141,魚池鄉,119.23
142,國姓鄉,98.421
143,水里鄉,171.1
144,信義鄉,10.744
145,仁愛鄉,10.554
146,斗六市,1125.618
147,斗南鎮,941.139
148,虎尾鎮,1001.117
149,西螺鎮,938.957
150,土庫鎮,616.427
151,北港鎮,1058.511
152,古坑鄉,198.7
153,大埤鄉,504.156
154,莿桐鄉,528.334
155,林內鄉,381.595
156,二崙鄉,480.082
157,崙背鄉,480.698
158,麥寮鄉,374.41
159,東勢鄉,371.627
160,褒忠鄉,401.877
161,臺西鄉,424.599
162,元長鄉,398.337
163,四湖鄉,361.212
164,口湖鄉,399.133
165,水林鄉,400.191
166,太保市,465.063
167,朴子市,836.779
168,布袋鎮,421.331
169,大林鎮,611.546
170,民雄鄉,931.836
171,溪口鄉,508.082
172,新港鄉,501.506
173,六腳鄉,428.566
174,東石鄉,319.931
175,義竹鄉,263.631
176,鹿草鄉,361.402
177,水上鄉,858.439
178,中埔鄉,356.733
179,竹崎鄉,251.114
180,梅山鄉,180.409
181,番路鄉,99.462
182,大埔鄉,17.44
183,阿里山鄉,12.226
184,新營市,1975.661
185,鹽水鎮,540.249
186,白河鎮,267.953
187,柳營鄉,396.428
188,後壁鄉,379.97
189,東山鄉,183.108
190,麻豆鎮,850.697
191,下營鄉,798.087
192,六甲鄉,365.12
193,官田鄉,384.443
194,大內鄉,179.015
195,佳里鎮,1413.39
196,學甲鎮,512.746
197,西港鄉,763.953
198,七股鄉,193.708
199,將軍鄉,455.385
200,北門鄉,247.939
201,新化鎮,785.388
202,善化鎮,768.236
203,新市鄉,723.612
204,安定鄉,947.594
205,山上鄉,308.768
206,玉井鄉,213.643
207,楠西鄉,96.394
208,南化鄉,48.656
209,左鎮鄉,73.162
210,仁德鄉,1465.904
211,歸仁鄉,1300.103
212,關廟鄉,693.343
