town,befo
板橋鎮,33.11
三重市,13.19
中和鄉,23.16
永和鎮,9.82
新莊鎮,41.99
新店鎮,29.49
樹林鎮,42.56
鶯歌鎮,60.38
三峽鎮,56.8
淡水鎮,55.36
汐止鎮,49.48
瑞芳鎮,54.81
土城鄉,43.38
蘆洲鄉,51.57
五股鄉,37.83
泰山鄉,41.9
林口鄉,50.09
深坑鄉,75.6
石碇鄉,51.44
坪林鄉,70.52
三芝鄉,70.05
石門鄉,68.91
八里鄉,60.46
平溪鄉,55.14
雙溪鄉,59.29
貢寮鄉,73.9
金山鄉,64.31
萬里鄉,40.05
烏來鄉,34.68
宜蘭市,51.96
羅東鎮,53.74
頭城鎮,28.25
蘇澳鎮,60.82
礁溪鄉,48.68
壯圍鄉,42.61
員山鄉,49.49
冬山鄉,44.49
五結鄉,53.41
三星鄉,39.54
大同鄉,15.1
南澳鄉,6.1
桃園鎮,45.5
中壢鎮,38.43
大溪鎮,65.24
楊梅鎮,56.44
蘆竹鄉,62.43
大園鄉,55.16
龜山鄉,39.98
八德鄉,50.61
龍潭鄉,53.29
平鎮鄉,42.08
新屋鄉,71.65
觀音鄉,65.49
復興鄉,14.51
竹北鄉,51.56
竹東鎮,47.03
新埔鎮,75.6
關西鎮,68.88
湖口鄉,57.09
新豐鄉,62.88
芎林鄉,64.56
橫山鄉,53.03
北埔鄉,66.61
寶山鄉,61.76
峨眉鄉,50.13
尖石鄉,7.32
五峰鄉,8.83
苗栗鎮,42.52
苑裡鎮,64.98
通霄鎮,65.8
竹南鎮,54.15
頭份鎮,52.16
後龍鎮,59.71
卓蘭鎮,43.34
大湖鄉,37.55
公館鄉,51.41
銅鑼鄉,54.56
南庄鄉,36.85
頭屋鄉,41.02
三義鄉,41.2
西湖鄉,60.77
造橋鄉,45.22
三灣鄉,37.25
獅潭鄉,19.18
泰安鄉,9.17
豐原鎮,50.21
東勢鎮,58.12
大甲鎮,59.66
清水鎮,58.88
沙鹿鎮,70.31
梧棲鎮,66.17
后里鄉,52.01
神岡鄉,63.45
潭子鄉,63.16
大雅鄉,53.06
新社鄉,43.57
石岡鄉,73.04
外埔鄉,57.03
大安鄉,60.69
烏日鄉,42.93
大肚鄉,66.29
龍井鄉,64.51
霧峰鄉,47.8
太平鄉,38.45
大里鄉,45.29
和平鄉,8.36
彰化市,46.2
