town,ping
板橋市,4.029
三重市,4.103
中和市,3.691
永和市,3.82
新莊市,4.138
新店市,3.736
樹林市,4.137
鶯歌鎮,4.652
三峽鎮,4.686
淡水鎮,4.341
汐止市,3.902
瑞芳鎮,4.269
土城市,4.1
蘆洲市,4.105
五股鄉,4.198
泰山鄉,4.385
林口鄉,4.934
深坑鄉,4.135
石碇鄉,4.143
坪林鄉,4.429
三芝鄉,4.392
石門鄉,4.526
八里鄉,4.883
平溪鄉,3.882
雙溪鄉,4.035
貢寮鄉,4.368
金山鄉,4.625
萬里鄉,4.414
烏來鄉,3.38
宜蘭市,4.298
羅東鎮,4.135
蘇澳鎮,4.629
頭城鎮,4.909
礁溪鄉,4.613
壯圍鄉,4.861
員山鄉,4.647
冬山鄉,4.485
五結鄉,4.347
三星鄉,4.308
大同鄉,4.21
南澳鄉,4.556
桃園市,4.165
中壢市,4.268
大溪鎮,4.414
楊梅鎮,4.661
蘆竹鄉,4.758
大園鄉,4.878
龜山鄉,4.607
八德市,4.222
龍潭鄉,4.47
平鎮市,4.319
新屋鄉,4.743
觀音鄉,4.654
復興鄉,4.458
竹北市,4.893
竹東鎮,5.528
新埔鎮,4.782
關西鎮,4.466
湖口鄉,5.033
新豐鄉,4.581
芎林鄉,4.769
橫山鄉,4.765
北埔鄉,4.655
寶山鄉,4.635
峨眉鄉,4.507
尖石鄉,4.411
五峰鄉,4.922
苗栗市,4.444
苑裡鎮,4.656
通霄鎮,4.572
竹南鎮,4.686
頭份鎮,4.83
後龍鎮,4.687
卓蘭鎮,4.324
大湖鄉,4.626
公館鄉,5.099
銅鑼鄉,4.73
南庄鄉,4.515
頭屋鄉,4.659
三義鄉,4.926
西湖鄉,4.889
造橋鄉,4.743
三灣鄉,4.592
獅潭鄉,4.727
泰安鄉,4.052
豐原市,4.397
東勢鎮,4.171
大甲鎮,4.575
清水鎮,4.711
沙鹿鎮,5.007
梧棲鎮,4.452
后里鄉,4.786
神岡鄉,5.157
潭子鄉,4.332
大雅鄉,4.689
新社鄉,4.791
石岡鄉,4.374
外埔鄉,4.61
大安鄉,4.337
烏日鄉,4.655
大肚鄉,4.482
龍井鄉,4.405
霧峰鄉,4.596
太平市,4.313
大里市,4.278
和平鄉,3.31
彰化市,4.422
鹿港鎮,5.131
和美鎮,5.015
線西鄉,4.322
伸港鄉,4.468
福興鄉,4.648
秀水鄉,5.023
花壇鄉,4.592
芬園鄉,4.942
員林鎮,5.039
溪湖鎮,4.933
田中鎮,4.999
大村鄉,4.744
埔鹽鄉,4.541
埔心鄉,4.586
永靖鄉,4.636
社頭鄉,4.564
二水鄉,4.797
北斗鎮,4.641
二林鎮,4.498
田尾鄉,4.577
埤頭鄉,4.641
芳苑鄉,4.467
大城鄉,4.111
竹塘鄉,4.153
溪州鄉,4.441
南投市,4.34
埔里鎮,4.151
草屯鎮,4.37
竹山鎮,4.481
集集鎮,4.294
名間鄉,4.409
鹿谷鄉,4.442
中寮鄉,4.249
魚池鄉,4.041
國姓鄉,4.273
水里鄉,4.129
信義鄉,4.736
仁愛鄉,4.052
斗六市,4.239
斗南鎮,4.117
虎尾鎮,4.395
西螺鎮,4.214
土庫鎮,4.43
北港鎮,4.15
古坑鄉,4.106
大埤鄉,4.479
莿桐鄉,4.361
林內鄉,4.553
二崙鄉,4.083
崙背鄉,4.257
麥寮鄉,4.485
東勢鄉,3.999
褒忠鄉,4.293
臺西鄉,4.415
元長鄉,4.115
四湖鄉,4.073
口湖鄉,4.351
水林鄉,3.993
太保市,4.151
朴子市,4.257
布袋鎮,4.371
大林鎮,4.229
民雄鄉,4.159
溪口鄉,4.156
新港鄉,3.805
六腳鄉,4.259
東石鄉,3.918
義竹鄉,4.097
鹿草鄉,4.552
水上鄉,4.229
中埔鄉,4.21
竹崎鄉,4.483
梅山鄉,4.465
番路鄉,4.152
大埔鄉,3.478
吳鳳鄉,4.574
新營市,3.922
鹽水鎮,3.988
白河鎮,4.662
柳營鄉,4.149
後壁鄉,4.147
東山鄉,4.733
麻豆鎮,3.968
下營鄉,4.028
六甲鄉,3.981
官田鄉,4.099
大內鄉,3.563
佳里鎮,3.991
學甲鎮,4.491
西港鄉,4.856
七股鄉,4.183
將軍鄉,4.189
北門鄉,4.259
新化鎮,3.951
善化鎮,4.197
新市鄉,4.479
安定鄉,4.286
山上鄉,4.075
玉井鄉,4.137
楠西鄉,3.704
南化鄉,3.855
左鎮鄉,3.876
仁德鄉,4.007
歸仁鄉,4.725
關廟鄉,4.41
龍崎鄉,3.943
永康市,4.089
鳳山市,4.05
林園鄉,4.237
大寮鄉,4.369
大樹鄉,4.29
大社鄉,4.479
仁武鄉,4.382
鳥松鄉,4.73
岡山鎮,4.502
橋頭鄉,4.064
燕巢鄉,4.016
田寮鄉,4.159
阿蓮鄉,5.242
路竹鄉,3.553
湖內鄉,4.655
茄萣鄉,4.54
永安鄉,4.331
彌陀鄉,4.565
梓官鄉,3.934
旗山鎮,4.307
美濃鎮,4.619
六龜鄉,3.987
甲仙鄉,4.232
杉林鄉,4.29
內門鄉,4.361
茂林鄉,4.532
桃源鄉,5.048
三民鄉,5.213
屏東市,4.059
潮州鎮,4.27
東港鎮,4.577
恆春鎮,4.256
萬丹鄉,4.769
長治鄉,4.262
麟洛鄉,4.552
九如鄉,4.275
里港鄉,4.201
鹽埔鄉,4.242
高樹鄉,3.932
萬巒鄉,5.092
內埔鄉,4.839
竹田鄉,4.327
新埤鄉,4.342
枋寮鄉,4.4
新園鄉,4.709
崁頂鄉,4.505
林邊鄉,4.204
南州鄉,4.122
佳冬鄉,4.118
琉球鄉,4.493
車城鄉,4.421
滿州鄉,4.043
枋山鄉,4.04
三地鄉,4.601
霧臺鄉,4.342
瑪家鄉,4.622
泰武鄉,5.554
來義鄉,4.542
春日鄉,5.18
獅子鄉,4.59
牡丹鄉,4.51
臺東市,4.122
成功鎮,4.389
關山鎮,3.812
卑南鄉,4.045
鹿野鄉,4.171
池上鄉,3.759
東河鄉,3.998
長濱鄉,4.698
太麻里鄉,4.155
大武鄉,3.695
綠島鄉,6.993
海端鄉,4.809
延平鄉,5.257
金峰鄉,4.312
達仁鄉,4.684
蘭嶼鄉,4.738
花蓮市,3.986
鳳林鎮,3.835
玉里鎮,4.777
新城鄉,4.279
吉安鄉,4.077
壽豐鄉,3.756
光復鄉,4.467
豐濱鄉,4.684
瑞穗鄉,4.454
富里鄉,4.411
秀林鄉,4.658
萬榮鄉,5.28
卓溪鄉,5.345
馬公市,4.767
湖西鄉,5.611
白沙鄉,4.162
西嶼鄉,4.225
望安鄉,3.984
七美鄉,4.35
中正區,3.474
七堵區,4.103
暖暖區,3.797
仁愛區,4.091
中山區,3.02
安樂區,4.136
信義區,3.541
東區,3.897
北區,3.835
香山區,4.608
中區,3.752
東區,3.897
南區,3.988
西區,3.886
北區,3.835
西屯區,4.396
南屯區,4.391
北屯區,4.044
東區,3.897
西區,3.886
東區,3.897
南區,3.988
西區,3.886
北區,3.835
中區,3.752
安南區,4.378
安平區,3.928
松山區,3.376
信義區,3.541
大安區,3.633
中山區,3.02
中正區,3.474
大同區,3.662
萬華區,3.544
文山區,3.731
南港區,3.812
內湖區,3.68
士林區,3.891
北投區,3.827
鹽埕區,3.389
鼓山區,4.046
左營區,4.522
楠梓區,3.959
