town,agri
霧臺鄉,92.4000
瑪家鄉,69.0300
泰武鄉,93.4900
來義鄉,96.4600
春日鄉,94.9600
獅子鄉,85.3100
牡丹鄉,91.1400
臺東鎮,23.9400
成功鎮,74.0700
關山鎮,62.1300
卑南鄉,65.9500
鹿野鄉,72.7600
池上鄉,64.5600
東河鄉,80.7600
長濱鄉,81.6900
太麻里鄉,80.1700
大武鄉,66.2500
綠島鄉,63.4200
海端鄉,89.6100
延平鄉,90.4700
金峰鄉,88.6200
達仁鄉,91.7300
蘭嶼鄉,87.5900
花蓮市,12.4900
鳳林鎮,48.4400
玉里鎮,62.5400
新城鄉,32.3700
吉安鄉,55.4500
壽豐鄉,77.4800
光復鄉,65.3800
豐濱鄉,72.0300
瑞穗鄉,65.9800
富里鄉,72.1000
秀林鄉,81.7400
萬榮鄉,94.0600
卓溪鄉,87.2500
馬公鎮,21.3100
湖西鄉,42.8700
白沙鄉,57.3800
西嶼鄉,57.7800
望安鄉,91.7500
七美鄉,88.1300
中正區,20.2100
七堵區,8.0800
暖暖區,5.2000
仁愛區,2.7600
中山區,2.2500
安樂區,5.0300
信義區,3.2000
新竹市,7.7100
香山鄉,41.7600
中區,1.3200
東區,4.6300
南區,10.5200
西區,6.7500
北區,5.6100
西屯區,36.6000
南屯區,45.7500
北屯區,42.8900
嘉義市,11.2400
東區,4.0700
南區,17.2200
西區,3.1400
北區,3.1200
中區,2.0300
安南區,57.8800
安平區,18.4000
鹽埕區,1.9600
鼓山區,11.3400
左營區,4.7800
楠梓區,17.3400
三民區,8.4900
新興區,2.8600
前金區,2.8100
苓雅區,5.3800
前鎮區,4.7300
旗津區,28.6200
小港鄉,31.4500
大安區,1.1200
大同區,1.0400
松山區,2.1400
南港鎮,4.6500
內湖鄉,13.3800
中山區,1.5400
北投鎮,14.4900
士林鎮,15.4900
城中區,2.3100
延平區,0.5600
建成區,0.5200
古亭區,0.8400
龍山區,0.4400
雙園區,1.8400
景美鎮,3.6100
木柵鄉,11.7400
