town,priv
南投鎮,71.75
埔里鎮,86.52
草屯鎮,87.98
竹山鎮,89.45
集集鎮,85.64
名間鄉,94.79
鹿谷鄉,95.68
中寮鄉,95.86
魚池鄉,90.9
國姓鄉,94.15
水里鄉,80.19
信義鄉,94.55
仁愛鄉,87.5
斗六鎮,82.3
斗南鎮,88.42
虎尾鎮,82.99
西螺鎮,91.24
土庫鎮,94.84
北港鎮,86.43
古坑鄉,96.17
大埤鄉,96.53
莿桐鄉,95.72
林內鄉,93.11
二崙鄉,96.44
崙背鄉,94.22
麥寮鄉,94.43
東勢鄉,95.49
褒忠鄉,92.93
臺西鄉,96.23
元長鄉,97.49
四湖鄉,94.95
口湖鄉,94.85
水林鄉,97.3
嘉義市,70.01
朴子鎮,88.23
布袋鎮,91.8
大林鎮,86.39
民雄鄉,90.87
溪口鄉,95.87
新港鄉,94.84
六腳鄉,95.37
東石鄉,94.81
義竹鄉,95.08
鹿草鄉,95.18
太保鄉,94.85
水上鄉,83.31
中埔鄉,91.42
竹崎鄉,92.17
梅山鄉,93.4
番路鄉,93.54
大埔鄉,88.35
吳鳳鄉,78.97
新營鎮,72.9
鹽水鎮,89
白河鎮,88.74
麻豆鎮,90.73
佳里鎮,88.37
新化鎮,82.62
善化鎮,85.83
學甲鎮,89.87
柳營鄉,91.45
後壁鄉,92.02
東山鄉,92.64
下營鄉,95.14
六甲鄉,90.56
官田鄉,89.43
大內鄉,92.82
西港鄉,94.24
七股鄉,93.22
將軍鄉,94.95
北門鄉,91.19
新市鄉,90.63
安定鄉,96.25
山上鄉,91.38
玉井鄉,81.27
楠西鄉,86.41
南化鄉,95.95
左鎮鄉,94.46
仁德鄉,76.23
歸仁鄉,91.44
關廟鄉,92.02
龍崎鄉,96.78
永康鄉,71.77
鳳山市,71.26
岡山鎮,67.13
旗山鎮,84.88
美濃鎮,93.87
林園鄉,89.37
大寮鄉,70.97
大樹鄉,89.08
仁武鄉,83.18
大社鄉,84.75
鳥松鄉,83.24
橋頭鄉,85.04
燕巢鄉,88.45
田寮鄉,97.2
阿蓮鄉,93.49
路竹鄉,89.9
湖內鄉,92.39
茄萣鄉,93.01
永安鄉,96.31
彌陀鄉,94.01
梓官鄉,89.94
六龜鄉,89.3
甲仙鄉,92.74
杉林鄉,94.99
內門鄉,95.76
茂林鄉,93.21
桃源鄉,97.17
三民鄉,95.5
屏東市,68.37
潮州鎮,80.95
東港鎮,84.65
恆春鎮,86.29
萬丹鄉,94.56
長治鄉,91.69
麟洛鄉,93.52
九如鄉,94.5
里港鄉,89.58
鹽埔鄉,95.38
高樹鄉,92.43
萬巒鄉,95.76
內埔鄉,90.21
竹田鄉,94.2
新埤鄉,95.97
枋寮鄉,89.56
新園鄉,95
崁頂鄉,94.95
林邊鄉,92.73
南州鄉,89.29
佳冬鄉,93.35
琉球鄉,90.87
車城鄉,94.11
滿州鄉,93.72
枋山鄉,93.86
三地門鄉,98.09
霧臺鄉,99.28
瑪家鄉,95.1
泰武鄉,99.23
來義鄉,98.32
春日鄉,98.22
獅子鄉,97.09
牡丹鄉,95.87
臺東市,74.54
成功鎮,90.35
關山鎮,84.56
卑南鄉,93.53
大武鄉,90.87
太麻里鄉,93.13
東河鄉,91.35
長濱鄉,95.88
鹿野鄉,86.66
池上鄉,81.67
綠島鄉,87.05
延平鄉,89.1
海端鄉,90.7
達仁鄉,95.53
金峰鄉,94.18
蘭嶼鄉,88.3
花蓮市,63.82
鳳林鎮,81.1
玉里鎮,82.34
新城鄉,84.03
吉安鄉,82.9
壽豐鄉,87.87
光復鄉,88.26
豐濱鄉,95.3
瑞穗鄉,88.95
富里鄉,90.83
秀林鄉,91.88
萬榮鄉,97.39
卓溪鄉,95.81
馬公鎮,72.76
湖西鄉,93.27
白沙鄉,91.31
西嶼鄉,93.86
望安鄉,94.17
七美鄉,96.17
中正區,75.29
七堵區,82.11
暖暖區,59.74
仁愛區,73.89
中山區,59.37
安樂區,81.83
信義區,70.91
中區,61.21
東區,62.31
西區,67.27
南區,68.96
北區,64.66
西屯區,65.22
南屯區,73.74
北屯區,67.91
東區,62.31
南區,68.96
西區,67.27
北區,64.66
中區,61.21
安南區,86.94
安平區,69.43
松山區,68.98
大安區,67.18
古亭區,61.73
雙園區,68.49
龍山區,65.23
城中區,56.76
建成區,66.14
延平區,62.2
大同區,64.37
中山區,59.37
內湖區,66.78
南港區,72.27
木柵區,63.05
景美區,72.91
士林區,69.03
北投區,69.06
鹽埕區,69.88
鼓山區,72.32
左營區,53.23
楠梓區,74.45
三民區,75.9
新興區,70.34
前金區,69.37
苓雅區,71.99
前鎮區,70.94
旗津區,78.97
小港區,82.75
