town,priv
板橋市,72.88
三重市,71.72
永和市,74.48
中和市,73.33
新莊市,80.06
新店市,71.58
樹林鎮,77.37
鶯歌鎮,82.08
三峽鎮,85.56
淡水鎮,76.42
汐止鎮,84.72
瑞芳鎮,86.27
土城鄉,72.54
蘆洲鄉,77.54
五股鄉,66.12
泰山鄉,73.32
林口鄉,76.57
深坑鄉,83.78
石碇鄉,91.25
坪林鄉,93.59
三芝鄉,91.61
石門鄉,91.2
八里鄉,93.31
平溪鄉,80.24
雙溪鄉,92.62
貢寮鄉,92.02
金山鄉,88
萬里鄉,93.19
烏來鄉,82.57
宜蘭市,78.9
羅東鎮,79.3
蘇澳鎮,88.37
頭城鎮,91.65
礁溪鄉,90.12
壯圍鄉,96.9
員山鄉,92.51
冬山鄉,93.51
五結鄉,90.26
三星鄉,91.23
大同鄉,84.84
南澳鄉,86.42
桃園市,78.49
中壢市,78.1
大溪鎮,78.68
楊梅鎮,77.15
蘆竹鄉,79.97
大園鄉,82.98
龜山鄉,64.79
八德鄉,84.76
龍潭鄉,78.48
平鎮鄉,79.83
新屋鄉,92.65
觀音鄉,90.57
復興鄉,93.49
新竹市,68.76
關西鎮,89.72
新埔鎮,89.37
竹東鎮,84.96
香山鄉,83.97
竹北鄉,89.11
湖口鄉,88.16
橫山鄉,87.9
新豐鄉,86.93
芎林鄉,91.75
寶山鄉,95.99
北埔鄉,93.15
峨眉鄉,95.37
尖石鄉,94.81
五峰鄉,95.87
苗栗鎮,74.75
苑裡鎮,90.33
通霄鎮,91.08
竹南鎮,86.74
頭份鎮,87.66
後龍鎮,91.51
卓蘭鎮,90.11
大湖鄉,87.83
公館鄉,90.98
銅鑼鄉,93.01
南庄鄉,92.37
頭屋鄉,94
三義鄉,89.87
西湖鄉,96.59
造橋鄉,90.31
三灣鄉,95.13
獅潭鄉,95.16
泰安鄉,97.3
豐原市,75.05
東勢鎮,84.26
大甲鎮,86.75
清水鎮,81.86
沙鹿鎮,85.17
梧棲鎮,82.99
后里鄉,85.91
神岡鄉,84.44
潭子鄉,79.3
大雅鄉,81.46
新社鄉,89.84
石岡鄉,84.27
外埔鄉,91.74
大安鄉,94.86
烏日鄉,82.47
大肚鄉,87.67
龍井鄉,92.62
霧峰鄉,82.14
太平鄉,84.6
大里鄉,80.68
和平鄉,88.32
彰化市,77.74
鹿港鎮,90.66
和美鎮,91.17
北斗鎮,90.25
員林鎮,82.4
溪湖鎮,88.89
田中鎮,90.1
二林鎮,92.18
線西鄉,96.02
伸港鄉,95.29
福興鄉,95.72
秀水鄉,92.81
花壇鄉,89.83
芬園鄉,95.57
大村鄉,92.96
埔鹽鄉,97.51
埔心鄉,93.61
永靖鄉,93.49
社頭鄉,93.59
二水鄉,91.68
田尾鄉,96.5
埤頭鄉,95.52
芳苑鄉,95.55
大城鄉,97.65
竹塘鄉,96.16
溪州鄉,91.46
