town,use
萬榮鄉,96.9
卓溪鄉,98.8
馬公市,85.9
湖西鄉,95.9
白沙鄉,94.3
西嶼鄉,95.7
望安鄉,98.8
七美鄉,94.4
中正區,89
七堵區,95.6
暖暖區,95.2
仁愛區,87
中山區,91.4
安樂區,97.2
信義區,93.8
東區,86.2
北區,84.1
香山區,88.6
中區,71.3
東區,86.2
南區,86.7
西區,69.4
北區,84.1
西屯區,85
南屯區,87.7
北屯區,87.1
東區,86.2
西區,69.4
東區,86.2
南區,86.7
西區,69.4
北區,84.1
中區,71.3
安南區,82.4
安平區,89.1
松山區,93.8
信義區,93.8
大安區,94
中山區,91.4
中正區,89
大同區,84.3
萬華區,90.4
文山區,95.1
南港區,93.5
內湖區,94.9
士林區,93.8
北投區,95.8
鹽埕區,73.4
鼓山區,91.2
左營區,90.5
楠梓區,92.7
三民區,84.2
新興區,75.8
前金區,80.3
苓雅區,87.3
前鎮區,89.3
旗津區,93.4
小港區,93.5
