town,use
板橋鎮,88.32
三重市,86.08
中和鄉,89.78
永和鎮,88.62
新莊鎮,84.18
新店鎮,89.38
樹林鎮,89.67
鶯歌鎮,88.72
三峽鎮,92.22
淡水鎮,89.72
汐止鎮,89.63
瑞芳鎮,92.39
土城鄉,91.56
蘆洲鄉,91.13
五股鄉,92.97
泰山鄉,91.24
林口鄉,89.02
深坑鄉,90.8
石碇鄉,92.59
坪林鄉,93.1
三芝鄉,92.86
石門鄉,92.17
八里鄉,94.35
平溪鄉,92.45
雙溪鄉,90.72
貢寮鄉,93.45
金山鄉,89.67
萬里鄉,94.07
烏來鄉,91.94
宜蘭市,88.33
羅東鎮,83.47
頭城鎮,89.85
蘇澳鎮,94.02
礁溪鄉,93.17
壯圍鄉,95.81
員山鄉,92.53
冬山鄉,94.97
五結鄉,95.58
三星鄉,92.2
大同鄉,91.48
南澳鄉,93.9
桃園鎮,84.58
中壢鎮,86
大溪鎮,92.39
楊梅鎮,88.32
蘆竹鄉,93.97
大園鄉,92.04
龜山鄉,89.86
八德鄉,89.84
龍潭鄉,90.58
平鎮鄉,90.36
新屋鄉,93.71
觀音鄉,94.27
復興鄉,94.05
竹北鄉,91.51
竹東鎮,85.03
新埔鎮,90.27
關西鎮,90.5
湖口鄉,86.47
新豐鄉,91.24
芎林鄉,92.84
橫山鄉,92.32
北埔鄉,90.35
寶山鄉,95.09
峨眉鄉,94.43
尖石鄉,94.1
五峰鄉,94.79
苗栗鎮,86.74
苑裡鎮,94.32
通霄鎮,97.34
竹南鎮,89.33
頭份鎮,89.83
後龍鎮,94.52
卓蘭鎮,92.79
大湖鄉,91.01
公館鄉,94.21
銅鑼鄉,93.39
南庄鄉,89.5
頭屋鄉,94.83
三義鄉,93.21
西湖鄉,96.96
造橋鄉,95.55
三灣鄉,94.54
獅潭鄉,94.74
泰安鄉,95.34
豐原鎮,85.59
東勢鎮,89.85
大甲鎮,92.41
清水鎮,95.69
沙鹿鎮,91.13
梧棲鎮,96.04
后里鄉,91.77
神岡鄉,92.24
潭子鄉,92.18
大雅鄉,89.57
新社鄉,93.29
石岡鄉,93.12
外埔鄉,94.65
大安鄉,97.7
烏日鄉,91.04
大肚鄉,95.74
龍井鄉,95.32
霧峰鄉,92.6
太平鄉,94.74
大里鄉,92.4
和平鄉,83.82
彰化市,87.05
鹿港鎮,91.15
和美鎮,94.24
線西鄉,96.49
伸港鄉,94.11
福興鄉,97.7
秀水鄉,93.89
花壇鄉,93.59
芬園鄉,94.92
員林鎮,87.6
溪湖鎮,90.65
田中鎮,88.59
大村鄉,93.79
埔鹽鄉,96.68
埔心鄉,95.79
永靖鄉,91.37
社頭鄉,92.4
二水鄉,92.94
北斗鎮,93.18
二林鎮,92.92
田尾鄉,96.42
埤頭鄉,95.53
