town,use
芳苑鄉,96.17
大城鄉,95.11
竹塘鄉,94.11
溪州鄉,93.3
南投鎮,92.27
埔里鎮,91.25
草屯鎮,90.76
竹山鎮,92.35
集集鎮,92.05
名間鄉,94.67
鹿谷鄉,93.09
中寮鄉,93.14
魚池鄉,92.53
國姓鄉,91.65
水里鄉,87.45
信義鄉,93.87
仁愛鄉,93.87
斗六鎮,88.34
斗南鎮,89.72
虎尾鎮,90.63
西螺鎮,92.84
土庫鎮,94.45
北港鎮,89.02
古坑鄉,96.21
大埤鄉,96.16
莿桐鄉,92.37
林內鄉,91.9
二崙鄉,95.7
崙背鄉,93.23
麥寮鄉,93.36
東勢鄉,95.85
褒忠鄉,92.07
臺西鄉,96.41
元長鄉,96.85
四湖鄉,96.45
口湖鄉,95.4
水林鄉,96.61
太保市,93.25
朴子鎮,90.97
布袋鎮,95.47
大林鎮,90.88
民雄鄉,93.34
溪口鄉,94.41
新港鄉,95.36
六腳鄉,96.71
東石鄉,95.86
義竹鄉,95.58
鹿草鄉,93.61
水上鄉,93.15
中埔鄉,92.67
竹崎鄉,92.54
梅山鄉,93.04
番路鄉,94.74
大埔鄉,91.71
吳鳳鄉,94.01
新營鎮,87.9
鹽水鎮,88.21
白河鎮,91.47
柳營鄉,95.69
後壁鄉,93.77
東山鄉,95.01
麻豆鎮,95.73
下營鄉,94.42
六甲鄉,92.73
官田鄉,92.78
大內鄉,95.53
佳里鎮,91.32
學甲鄉,90.07
西港鄉,93.52
七股鄉,94.71
將軍鄉,95.4
北門鄉,94.67
新化鎮,87.42
善化鎮,92.34
新市鄉,88.06
安定鄉,94.39
山上鄉,94.79
玉井鄉,89.51
楠西鄉,91.98
南化鄉,94.3
左鎮鄉,95.36
仁德鄉,93.93
歸仁鄉,92.74
關廟鄉,60.39
龍崎鄉,96.83
永康鄉,91.24
鳳山鎮,86.13
林園鄉,90.94
大寮鄉,95.24
大樹鄉,91.5
大社鄉,96.19
仁武鄉,91.83
鳥松鄉,93
岡山鎮,90.96
橋頭鄉,91.5
燕巢鄉,91.85
田寮鄉,97.16
阿蓮鄉,93.95
路竹鄉,93.29
湖內鄉,93.73
茄萣鄉,93.06
永安鄉,94.41
彌陀鄉,89.08
梓官鄉,95.34
旗山鎮,88.06
美濃鎮,92.51
六龜鄉,89.25
甲仙鄉,90.5
杉林鄉,95.49
內門鄉,94.7
茂林鄉,100
桃源鄉,95.85
三民鄉,94.69
屏東市,87.25
潮州鎮,83.45
東港鎮,88.21
恆春鎮,90.94
萬丹鄉,92.31
長治鄉,94.12
麟洛鄉,93.12
九如鄉,92.22
里港鄉,89.53
鹽埔鄉,93.46
高樹鄉,92.81
萬巒鄉,95.01
內埔鄉,90.22
竹田鄉,95.57
新埤鄉,96.3
枋寮鄉,90.99
新園鄉,94.92
崁頂鄉,95.29
林邊鄉,91.1
南州鄉,91.91
佳冬鄉,94.65
琉球鄉,96.1
車城鄉,92.01
滿州鄉,95.57
枋山鄉,93.65
三地鄉,98.2
霧臺鄉,98.95
瑪家鄉,97.32
泰武鄉,98.58
來義鄉,98.49
春日鄉,99.87
獅子鄉,97.07
牡丹鄉,97.16
臺東鎮,86.62
成功鎮,92.03
關山鎮,91.13
卑南鄉,90.6
鹿野鄉,87.55
池上鄉,88.92
東河鄉,91.35
長濱鄉,92.71
太麻里鄉,91.98
大武鄉,90.8
綠島鄉,94.51
海端鄉,96.16
延平鄉,96.88
金峰鄉,95.28
達仁鄉,96.55
蘭嶼鄉,94.76
花蓮市,84.96
鳳林鎮,88.52
玉里鎮,90.4
新城鄉,89.16
吉安鄉,91.69
壽豐鄉,93.03
光復鄉,91.73
豐濱鄉,96.31
瑞穗鄉,89.8
富里鄉,90.92
秀林鄉,93.48
萬榮鄉,97.65
卓溪鄉,95.66
馬公鎮,83.75
湖西鄉,93.11
白沙鄉,95.92
西嶼鄉,94.53
望安鄉,97.58
七美鄉,95.52
中正區,87.06
七堵區,91.22
暖暖區,93.15
仁愛區,85.25
中山區,88.6
安樂區,94.98
信義區,93.84
新竹市,86.77
香山鄉,95.07
中區,71.49
東區,90.02
南區,92.63
西區,77.36
北區,87.03
西屯區,92.72
南屯區,92.89
北屯區,91.14
嘉義市,85.22
東區,90.02
南區,92.63
西區,77.36
北區,87.03
中區,71.49
安南區,93.36
安平區,92.55
鹽埕區,77.48
鼓山區,88.28
左營區,89.42
楠梓區,92.02
三民區,86.27
新興區,85.03
前金區,86.64
苓雅區,90.28
前鎮區,93.78
旗津區,93.76
小港鄉,93.39
大安區,88.24
大同區,85.85
松山區,91.64
南港鎮,88.95
內湖鄉,90.77
中山區,88.6
北投鎮,90.86
士林鎮,90.93
城中區,73.68
延平區,76.36
建成區,76.15
古亭區,86.74
龍山區,76.08
雙園區,89.48
景美鎮,86.93
木柵鄉,84.92
