town,da
豐濱鄉,4.29
瑞穗鄉,5.81
富里鄉,4.18
秀林鄉,5.85
萬榮鄉,3.62
卓溪鄉,2.84
馬公市,15.64
湖西鄉,11.34
白沙鄉,5.9
西嶼鄉,5.53
望安鄉,5.09
七美鄉,4.31
中正區,15.79
七堵區,12.44
暖暖區,13.6
仁愛區,15.6
中山區,12.71
安樂區,12.82
信義區,20.83
東區,32.56
北區,18.45
香山區,9.91
中區,24.73
東區,18.87
南區,30.11
西區,29.3
北區,29.77
西屯區,34.37
南屯區,20.86
北屯區,22.07
東區,26.2
西區,16.89
東區,29.86
南區,15.65
西區,17.19
北區,20.59
中區,33.17
安南區,6.94
安平區,12.82
松山區,42.45
信義區,34.36
大安區,53.64
中山區,33.66
中正區,42.27
大同區,22.22
萬華區,20.6
文山區,39.1
南港區,22.68
內湖區,31.66
士林區,31.88
北投區,29.57
鹽埕區,19.85
鼓山區,20.24
左營區,21.7
楠梓區,18.96
三民區,21.03
新興區,29.88
前金區,29.12
苓雅區,25.93
前鎮區,15
旗津區,7.15
小港區,11.74
