OBJECTID,widow,town
249,8.33,萬丹鄉
250,7.95,長治鄉
251,8.38,麟洛鄉
252,8.25,九如鄉
253,8.48,里港鄉
254,7.71,鹽埔鄉
255,8.88,高樹鄉
256,10.35,萬巒鄉
257,8.29,內埔鄉
258,9.12,竹田鄉
259,9.27,新埤鄉
260,8.44,枋寮鄉
261,8.33,新園鄉
262,9.45,崁頂鄉
263,8.91,林邊鄉
264,9.38,南州鄉
265,9.07,佳冬鄉
266,9.49,琉球鄉
267,10.22,車城鄉
268,13.16,滿州鄉
269,10.06,枋山鄉
270,10.41,三地門鄉
271,11.69,霧臺鄉
272,9.79,瑪家鄉
273,8.88,泰武鄉
274,10.37,來義鄉
275,12.19,春日鄉
276,9.71,獅子鄉
277,9.64,牡丹鄉
278,7.81,臺東市
279,8.32,成功鎮
280,9.54,關山鎮
281,9.07,卑南鄉
282,8.51,大武鄉
283,8.29,太麻里鄉
284,9.06,東河鄉
285,10.01,長濱鄉
286,9.54,鹿野鄉
287,9.2,池上鄉
288,7.31,綠島鄉
289,9.49,延平鄉
290,9.39,海端鄉
291,10.68,達仁鄉
292,11.53,金峰鄉
293,10.28,蘭嶼鄉
294,7.61,花蓮市
295,9.88,鳳林鎮
296,8.92,玉里鎮
297,7.51,新城鄉
298,6.85,吉安鄉
299,9.59,壽豐鄉
300,9.83,光復鄉
301,9.19,豐濱鄉
302,9.68,瑞穗鄉
303,10.52,富里鄉
304,8.96,秀林鄉
305,10.31,萬榮鄉
306,10.1,卓溪鄉
307,8.65,馬公鎮
308,13.89,湖西鄉
309,13.19,白沙鄉
310,13.63,西嶼鄉
311,13.2,望安鄉
312,14.75,七美鄉
313,7.94,中正區
314,7.42,七堵區
315,8.73,暖暖區
316,9.02,仁愛區
317,8.9,中山區
318,8.62,安樂區
319,8.81,信義區
320,6.65,中區
321,7.11,東區
322,6.26,西區
323,6.62,南區
324,6.6,北區
325,6.18,西屯區
326,6.5,南屯區
327,6.18,北屯區
328,5.96,東區
329,6.77,南區
330,8.68,西區
331,6.46,北區
332,8.52,中區
333,7.17,安南區
334,7.35,安平區
335,5.99,松山區
336,6.13,大安區
337,6.6,古亭區
338,6.75,雙園區
339,7.95,龍山區
340,5.22,城中區
341,8.06,建成區
342,7.81,延平區
343,7.88,大同區
344,6.48,中山區
345,5.94,內湖區
346,6.26,南港區
347,6.14,木柵區
348,4.54,景美區
349,6.04,士林區
350,5.74,北投區
351,7.35,鹽埕區
352,6.46,鼓山區
353,6.1,左營區
354,5.73,楠梓區
355,5.03,三民區
356,5.73,新興區
357,7.09,前金區
358,5.19,苓雅區
359,5.17,前鎮區
360,8.49,旗津區
361,5.73,小港區
