OBJECTID,town,ratio
1,板橋市,98.7172
2,三重市,98.7247
3,中和市,97.972
4,永和市,93.2461
5,新莊市,98.6878
6,新店市,97.3268
7,樹林市,104.4006
8,鶯歌鎮,105.7877
9,三峽鎮,108.8251
10,淡水鎮,102.3233
11,汐止市,99.8538
12,瑞芳鎮,106.6859
13,土城市,103.437
14,蘆洲市,99.0811
15,五股鄉,107.2493
16,泰山鄉,112.6263
17,林口鄉,101.482
18,深坑鄉,109.3035
19,石碇鄉,127.1527
20,坪林鄉,127.8751
21,三芝鄉,116.6743
22,石門鄉,122.8452
23,八里鄉,106.4621
24,平溪鄉,121.8346
25,雙溪鄉,110.348
26,貢寮鄉,118.6106
27,金山鄉,106.5256
28,萬里鄉,119.216
29,烏來鄉,105.6413
30,宜蘭市,108.9197
31,羅東鎮,94.5011
32,蘇澳鎮,125.2033
33,頭城鎮,110.5959
34,礁溪鄉,105.0502
35,壯圍鄉,106.7903
36,員山鄉,117.9381
37,冬山鄉,103.8468
38,五結鄉,105.3946
39,三星鄉,128.6805
40,大同鄉,121.4096
41,南澳鄉,114.3034
42,桃園市,99.9107
43,中壢市,108.7584
44,大溪鎮,116.7059
45,楊梅鎮,110.1491
46,蘆竹鄉,110.0827
47,大園鄉,120.0069
48,龜山鄉,111.3581
49,八德市,110.7829
50,龍潭鄉,117.6541
51,平鎮市,109.7667
52,新屋鄉,116.3372
53,觀音鄉,130.4681
54,復興鄉,120.2454
55,竹北市,102.1597
56,竹東鎮,101.9589
57,新埔鎮,110.6516
58,關西鎮,128.1353
59,湖口鄉,126.7795
60,新豐鄉,117.143
61,芎林鄉,109.3093
62,橫山鄉,113.0993
63,北埔鄉,112.3325
64,寶山鄉,116.0079
65,峨眉鄉,114.7048
66,尖石鄉,124.9301
67,五峰鄉,124.8871
68,苗栗市,107.1875
69,苑裡鎮,106.9987
70,通霄鎮,110.516
71,竹南鎮,103.6053
72,頭份鎮,107.6108
73,後龍鎮,100.3698
74,卓蘭鎮,109.4421
75,大湖鄉,109.6162
76,公館鄉,106.0736
77,銅鑼鄉,112.3138
78,南庄鄉,119.7536
79,頭屋鄉,105.2357
80,三義鄉,112.0291
81,西湖鄉,119.9943
82,造橋鄉,98.481
83,三灣鄉,114.4065
84,獅潭鄉,120.5092
85,泰安鄉,123.9589
86,豐原市,99.7632
87,東勢鎮,108.803
88,大甲鎮,102.6118
89,清水鎮,107.7716
90,沙鹿鎮,95.3985
91,梧棲鎮,104.8208
92,后里鄉,120.0255
93,神岡鄉,108.6637
94,潭子鄉,98.1883
95,大雅鄉,123.4261
96,新社鄉,144.6437
97,石岡鄉,107.8699
98,外埔鄉,106.6191
99,大安鄉,112.1931
100,烏日鄉,119.0965
101,大肚鄉,105.1098
102,龍井鄉,104.5265
103,霧峰鄉,101.2624
104,太平市,103.7964
105,大里市,102.5067
106,和平鄉,132.0455
107,彰化市,99.9686
108,鹿港鎮,104.9299
109,和美鎮,104.3425
110,線西鄉,107.9018
111,伸港鄉,108.9301
112,福興鄉,106.3354
113,秀水鄉,105.5844
114,花壇鄉,104.6964
115,芬園鄉,112.8128
116,員林鎮,101.3488
117,溪湖鎮,103.0915
118,田中鎮,111.7795
119,大村鄉,112.2842
120,埔鹽鄉,107.6555
121,埔心鄉,105.6368
122,永靖鄉,105.8403
123,社頭鄉,101.6355
124,二水鄉,107.2136
125,北斗鎮,101.7229
126,二林鎮,110.9576
127,田尾鄉,105.7951
128,埤頭鄉,106.8395
129,芳苑鄉,113.3931
130,大城鄉,116.1816
131,竹塘鄉,106.2223
132,溪州鄉,107.703
133,南投市,105.923
134,埔里鎮,102.7999
135,草屯鎮,101.7172
136,竹山鎮,103.9816
137,集集鎮,130.4939
138,名間鄉,108.2744
139,鹿谷鄉,107.6644
140,中寮鄉,115.8267
141,魚池鄉,110.3112
142,國姓鄉,113.9151
143,水里鄉,104.9447
144,信義鄉,114.3817
145,仁愛鄉,112.7579
146,斗六市,101.4657
147,斗南鎮,103.3806
148,虎尾鎮,116.7432
149,西螺鎮,99.7948
150,土庫鎮,104.9765
151,北港鎮,105.8812
152,古坑鄉,109.0806
153,大埤鄉,112.5608
154,莿桐鄉,106.9966
155,林內鄉,110.5454
156,二崙鄉,109.1773
157,崙背鄉,112.6946
158,麥寮鄉,148.0135
159,東勢鄉,112.2922
160,褒忠鄉,114.4956
161,臺西鄉,112.8027
162,元長鄉,111.7806
163,四湖鄉,116.2689
164,口湖鄉,111.1142
165,水林鄉,112.7066
166,太保市,107.8262
167,朴子市,103.5185
168,布袋鎮,107.7664
169,大林鎮,124.3399
170,民雄鄉,107.5867
171,溪口鄉,108.64
172,新港鄉,111.2012
173,六腳鄉,108.3688
174,東石鄉,113.3694
175,義竹鄉,106.4349
176,鹿草鄉,147.5281
177,水上鄉,123.6218
178,中埔鄉,106.9159
179,竹崎鄉,112.3472
180,梅山鄉,109.4815
181,番路鄉,116.9061
182,大埔鄉,118.3333
183,阿里山鄉,116.0256
184,新營市,100.6598
185,鹽水鎮,108.0738
186,白河鎮,121.2438
187,柳營鄉,96.5905
188,後壁鄉,109.1716
189,東山鄉,114.8614
190,麻豆鎮,100.6598
191,下營鄉,104.9417
192,六甲鄉,114.8224
193,官田鄉,140.3752
194,大內鄉,142.8054
195,佳里鎮,99.1518
196,學甲鎮,103.812
197,西港鄉,104.624
198,七股鄉,112.352
199,將軍鄉,102.4912
200,北門鄉,109.481
201,新化鎮,122.199
202,善化鎮,103.7813
203,新市鄉,103.3275
204,安定鄉,108.0171
205,山上鄉,123.554
206,玉井鄉,105.9398
207,楠西鄉,110.8605
208,南化鄉,116.4433
209,左鎮鄉,117.083
210,仁德鄉,101.5744
211,歸仁鄉,117.2643
212,關廟鄉,106.5651
213,龍崎鄉,114.979
214,永康市,102.2282
215,鳳山市,106.7221
216,林園鄉,114.3133
217,大寮鄉,103.9313
218,大樹鄉,115.1855
219,大社鄉,103.8057
220,仁武鄉,109.7066
221,鳥松鄉,107.0711
222,岡山鎮,121.5104
223,橋頭鄉,110.3074
224,燕巢鄉,136.7395
225,田寮鄉,124.4822
226,阿蓮鄉,120.5626
227,路竹鄉,108.9183
228,湖內鄉,101.6803
229,茄萣鄉,106.7714
230,永安鄉,116.0943
231,彌陀鄉,108.3089
232,梓官鄉,107.9182
233,旗山鎮,111.9712
234,美濃鎮,104.0435
235,六龜鄉,113.3921
236,甲仙鄉,112.7951
237,杉林鄉,115.8646
238,內門鄉,106.6527
239,茂林鄉,107.3919
240,桃源鄉,111.6122
241,三民鄉,110.6817
242,屏東市,101.5205
243,潮州鎮,101.5414
244,東港鎮,103.6783
245,恆春鎮,107.9235
246,萬丹鄉,104.1544
247,長治鄉,106.4151
248,麟洛鄉,107.2869
249,九如鄉,106.1686
250,里港鄉,103.0456
251,鹽埔鄉,103.6742
252,高樹鄉,111.5883
253,萬巒鄉,134.652
254,內埔鄉,111.3201
255,竹田鄉,149.3704
256,新埤鄉,110.4585
257,枋寮鄉,111.2191
258,新園鄉,106.0547
259,崁頂鄉,104.1926
260,林邊鄉,106.8722
261,南州鄉,107.4183
262,佳冬鄉,107.5946
263,琉球鄉,121.6779
264,車城鄉,119.838
265,滿州鄉,128.4165
266,枋山鄉,127.2056
267,三地門鄉,101.8346
268,霧臺鄉,128.7028
269,瑪家鄉,113.286
270,泰武鄉,111.0597
271,來義鄉,102.6521
272,春日鄉,126.7234
273,獅子鄉,115.444
274,牡丹鄉,106.7487
275,臺東市,113.7318
276,成功鎮,110.972
277,關山鎮,107.5392
278,卑南鄉,155.9719
279,鹿野鄉,119.5102
280,池上鄉,109.2092
281,東河鄉,152.3935
282,長濱鄉,115.9623
283,太麻里鄉,111.2757
284,大武鄉,107.4957
285,綠島鄉,166.9683
286,海端鄉,109.5865
287,延平鄉,112.6447
288,金峰鄉,101.541
289,達仁鄉,110.2953
290,蘭嶼鄉,121.747
291,花蓮市,103.7439
292,鳳林鎮,115.9269
293,玉里鎮,125.823
294,新城鄉,166.1295
295,吉安鄉,103.3674
296,壽豐鄉,107.2066
297,光復鄉,112.9597
298,豐濱鄉,116.5527
299,瑞穗鄉,110.6431
300,富里鄉,112.1858
301,秀林鄉,114.0241
302,萬榮鄉,110.3389
303,卓溪鄉,112.6538
304,馬公市,134.4883
305,湖西鄉,216.9374
306,白沙鄉,124.0932
307,西嶼鄉,123.2485
308,望安鄉,134.4793
309,七美鄉,100.5258
310,中正區,121.5383
311,七堵區,104.0113
312,暖暖區,102.9318
313,仁愛區,100.4169
