town,chu
板橋市,22.23
三重市,23.07
中和市,19.88
永和市,16.25
新莊市,24.63
新店市,16.85
樹林市,25.31
鶯歌鎮,26.62
三峽鎮,28.24
淡水鎮,18.85
汐止市,17.94
瑞芳鎮,25.94
土城市,25.66
蘆洲市,27.5
五股鄉,24.32
泰山鄉,21.52
林口鄉,21.19
深坑鄉,19.04
石碇鄉,19.33
坪林鄉,19.99
三芝鄉,27.5
石門鄉,29.05
八里鄉,24.69
平溪鄉,24.8
雙溪鄉,24.27
貢寮鄉,24.75
金山鄉,25.95
萬里鄉,25.33
烏來鄉,26.16
宜蘭市,23.08
羅東鎮,24.5
蘇澳鎮,25.48
頭城鎮,28.77
礁溪鄉,29.37
壯圍鄉,29.92
員山鄉,32.6
冬山鄉,27.07
五結鄉,27.29
三星鄉,31.14
大同鄉,39.81
南澳鄉,35.49
桃園市,20.67
中壢市,18.09
大溪鎮,24.95
楊梅鎮,20.29
蘆竹鄉,21.27
大園鄉,24.59
龜山鄉,19.84
八德市,23.23
龍潭鄉,21.56
平鎮市,20.98
新屋鄉,21.64
觀音鄉,21.24
復興鄉,35.66
竹北市,19.53
竹東鎮,20.27
新埔鎮,20.63
關西鎮,19.7
湖口鄉,18.52
新豐鄉,20.78
芎林鄉,18
橫山鄉,21.76
北埔鄉,22.59
寶山鄉,21.27
峨眉鄉,22.73
尖石鄉,37.76
五峰鄉,36.06
苗栗市,19.42
苑裡鎮,27.61
通霄鎮,25.81
竹南鎮,22.47
頭份鎮,22.11
後龍鎮,24.18
卓蘭鎮,26.23
大湖鄉,23.33
公館鄉,23.28
銅鑼鄉,23.23
南庄鄉,28.17
頭屋鄉,21.86
三義鄉,24.58
西湖鄉,22.2
造橋鄉,19.73
三灣鄉,24.43
獅潭鄉,19.74
泰安鄉,34.3
豐原市,21.86
東勢鎮,24
大甲鎮,25.34
清水鎮,22.41
沙鹿鎮,21.26
梧棲鎮,23.7
后里鄉,23.48
神岡鄉,23.5
潭子鄉,21.75
大雅鄉,23.6
新社鄉,22.48
石岡鄉,24.21
外埔鄉,26.28
大安鄉,25.21
烏日鄉,20.18
大肚鄉,23
龍井鄉,24.4
霧峰鄉,21.68
太平市,23.83
大里市,23.45
和平鄉,27.33
彰化市,20.15
鹿港鎮,24.15
和美鎮,23.05
線西鄉,25.62
伸港鄉,26.9
福興鄉,25.58
秀水鄉,25.16
花壇鄉,23.12
芬園鄉,25.01
員林鎮,21.71
溪湖鎮,24.72
田中鎮,20.99
大村鄉,20.24
埔鹽鄉,24.94
埔心鄉,23.59
永靖鄉,23.02
社頭鄉,23.29
二水鄉,19.2
北斗鎮,23.73
二林鎮,26.11
田尾鄉,23.6
埤頭鄉,24.12
芳苑鄉,24.62
大城鄉,29.75
竹塘鄉,25.15
溪州鄉,26.78
南投市,22.52
埔里鎮,26.13
草屯鎮,23.24
竹山鎮,26.97
集集鎮,27.01
名間鄉,25.39
鹿谷鄉,25.07
中寮鄉,25.52
魚池鄉,27.64
國姓鄉,28.57
水里鄉,27.15
信義鄉,34.31
仁愛鄉,31.4
斗六市,20.37
斗南鎮,21.81
虎尾鎮,22.58
西螺鎮,27.05
土庫鎮,23.02
北港鎮,23.25
古坑鄉,23.96
大埤鄉,24.64
莿桐鄉,24.49
林內鄉,24
二崙鄉,25.57
崙背鄉,27.54
麥寮鄉,22.11
東勢鄉,28.17
褒忠鄉,25.63
臺西鄉,26.82
元長鄉,23.25
四湖鄉,27.12
口湖鄉,27.24
水林鄉,25.94
太保市,25.6
朴子市,23.34
布袋鎮,23.89
大林鎮,18.99
民雄鄉,19.3
溪口鄉,23.23
新港鄉,23.98
六腳鄉,23.33
東石鄉,24.09
義竹鄉,22.56
鹿草鄉,28.15
水上鄉,23.06
中埔鄉,25.78
竹崎鄉,24.49
梅山鄉,24.29
番路鄉,27.35
大埔鄉,28.32
阿里山鄉,29.05
新營市,19.48
鹽水鎮,22.68
白河鎮,20.41
柳營鄉,20.04
後壁鄉,18.5
東山鄉,24.71
麻豆鎮,20.03
下營鄉,22.11
六甲鄉,20.38
官田鄉,17.24
大內鄉,15.78
佳里鎮,22.76
學甲鎮,22.24
西港鄉,25.48
七股鄉,25.99
將軍鄉,23.51
北門鄉,24.43
新化鎮,22.27
善化鎮,19.91
新市鄉,21.08
安定鄉,23.25
山上鄉,19.25
玉井鄉,23.54
楠西鄉,24.77
南化鄉,24.66
左鎮鄉,21.46
仁德鄉,19.42
歸仁鄉,23.67
關廟鄉,23.04
龍崎鄉,20.14
永康市,19.44
鳳山市,19.22
林園鄉,22.96
大寮鄉,21.52
大樹鄉,21.42
