OBJECTID,town,unmarried
1,板橋鎮,147.7761
2,三重市,146.3664
3,中和鄉,181.8142
4,永和鎮,157.5229
5,新莊鎮,146.4459
6,新店鎮,233.1726
7,樹林鎮,163.1449
8,鶯歌鎮,156.6378
9,三峽鎮,144.9148
10,淡水鎮,170.1615
11,汐止鎮,154.1789
12,瑞芳鎮,153.6624
13,土城鄉,190.6604
14,蘆洲鄉,158.8785
15,五股鄉,146.4497
16,泰山鄉,315.3439
17,林口鄉,334.4284
18,深坑鄉,146.4516
19,石碇鄉,155.5256
20,坪林鄉,139.2512
21,三芝鄉,187.2126
22,石門鄉,261.522
23,八里鄉,168.1066
24,平溪鄉,138.5185
25,雙溪鄉,159.0736
26,貢寮鄉,196.1039
27,金山鄉,177.2364
28,萬里鄉,174.1653
29,烏來鄉,185.4093
30,宜蘭市,158.606
31,羅東鎮,130.7378
32,頭城鎮,170.2925
33,蘇澳鎮,155.4485
34,礁溪鄉,161.0728
35,壯圍鄉,144.832
36,員山鄉,207.8614
37,冬山鄉,140.5779
38,五結鄉,134.5765
39,三星鄉,164.7232
40,大同鄉,263.2558
41,南澳鄉,206.5156
42,桃園鎮,152.9088
43,中壢鎮,202.2495
44,大溪鎮,202.2195
45,楊梅鎮,193.4131
46,蘆竹鄉,167.9663
47,大園鄉,173.3157
48,龜山鄉,363.2287
49,八德鄉,392.4063
50,龍潭鄉,385.8141
51,平鎮鄉,278.1304
52,新屋鄉,127.2203
53,觀音鄉,160.7175
54,復興鄉,190.3646
55,竹北鄉,122.7178
56,竹東鎮,135.5842
57,新埔鎮,145.1137
58,關西鎮,141.2644
59,湖口鄉,398.82
60,新豐鄉,145.0904
61,芎林鄉,140.107
62,橫山鄉,129.2093
63,北埔鄉,135.205
64,寶山鄉,165.4755
65,峨眉鄉,115.9212
66,尖石鄉,173.9482
67,五峰鄉,157.6602
68,苗栗鎮,167.095
69,苑裡鎮,113.3194
70,通霄鎮,127.1072
71,竹南鎮,120.3846
72,頭份鎮,154.4382
73,後龍鎮,129.0316
74,卓蘭鎮,125.7705
75,大湖鄉,125.6348
76,公館鄉,136.2504
77,銅鑼鄉,128.9026
78,南庄鄉,127.3654
79,頭屋鄉,133.078
80,三義鄉,125.2142
81,西湖鄉,113.7644
82,造橋鄉,124.0447
83,三灣鄉,111.875
84,獅潭鄉,126.8354
85,泰安鄉,150.5102
86,豐原鎮,124.305
87,東勢鎮,145.5605
88,大甲鎮,146.9631
89,清水鎮,124.6334
90,沙鹿鎮,126.8305
91,梧棲鎮,128.3779
92,后里鄉,202.9253
93,神岡鄉,226.2543
94,潭子鄉,191.0891
95,大雅鄉,439.6396
96,新社鄉,196.1407
97,石岡鄉,167.7419
98,外埔鄉,124.6563
99,大安鄉,110.3003
100,烏日鄉,223.1807
101,大肚鄉,115.6012
102,龍井鄉,110.3132
103,霧峰鄉,129.191
104,太平鄉,300.0456
105,大里鄉,215.6313
106,和平鄉,338.1649
107,彰化市,132.286
108,鹿港鎮,122.5927
109,和美鎮,114.6503
110,線西鄉,121.8243
111,伸港鄉,114.5799
112,福興鄉,122.2015
113,秀水鄉,117.3818
114,花壇鄉,130.3242
115,芬園鄉,129.4224
116,員林鎮,123.1539
117,溪湖鎮,116.0767
118,田中鎮,172.7021
119,大村鄉,136.0444
120,埔鹽鄉,110.9208
121,埔心鄉,127.3826
122,永靖鄉,124.7975
123,社頭鄉,149.0467
124,二水鄉,128.1158
125,北斗鎮,126.9194
126,二林鎮,111.2993
127,田尾鄉,126.4642
128,埤頭鄉,130.4384
129,芳苑鄉,123.4649
130,大城鄉,112.637
131,竹塘鄉,106.4613
132,溪州鄉,147.7548
133,南投鎮,147.6026
134,埔里鎮,137.7192
135,草屯鎮,122.0049
136,竹山鎮,115.6436
137,集集鎮,121.113
138,名間鄉,126.425
139,鹿谷鄉,117.7706
140,中寮鄉,124.7435
141,魚池鄉,121.4779
142,國姓鄉,136.7354
143,水里鄉,144.2593
144,信義鄉,132.6036
145,仁愛鄉,171.2893
146,斗六鎮,156.2851
147,斗南鎮,131.362
148,虎尾鎮,139.0989
149,西螺鎮,120.1937
150,土庫鎮,123.6834
151,北港鎮,130.1858
152,古坑鄉,117.3029
153,大埤鄉,127.8455
154,莿桐鄉,115.4124
155,林內鄉,123.6111
156,二崙鄉,961.3821
157,崙背鄉,113.4342
158,麥寮鄉,123.11
159,東勢鄉,128.7585
160,褒忠鄉,117.9169
161,臺西鄉,136.0684
162,元長鄉,125.5861
163,四湖鄉,124.7236
164,口湖鄉,116.858
165,水林鄉,120.1817
166,太保市,128.5412
167,朴子鎮,115.7213
168,布袋鎮,115.0672
169,大林鎮,233.6792
170,民雄鄉,129.2514
171,溪口鄉,114.5262
172,新港鄉,115.6285
173,六腳鄉,122.28
174,東石鄉,121.5601
175,義竹鄉,112.5209
176,鹿草鄉,115.728
177,水上鄉,213.3528
178,中埔鄉,133.6425
179,竹崎鄉,140.2356
180,梅山鄉,116.9975
181,番路鄉,139.2029
182,大埔鄉,245.0495
183,吳鳳鄉,159.9002
184,新營鎮,126.2374
185,鹽水鎮,115.7991
186,白河鎮,186.9722
187,柳營鄉,115.4925
188,後壁鄉,117.4645
189,東山鄉,121.5175
190,麻豆鎮,120.0245
191,下營鄉,117.6071
192,六甲鄉,124.4637
193,官田鄉,334.594
194,大內鄉,138.3483
195,佳里鎮,123.756
196,學甲鄉,111.2218
197,西港鄉,114.6395
198,七股鄉,115.6368
199,將軍鄉,118.6386
200,北門鄉,118.9595
201,新化鎮,337.6504
202,善化鎮,246.1888
203,新市鄉,124.6583
204,安定鄉,126.8393
205,山上鄉,138.8578
206,玉井鄉,127.36
207,楠西鄉,128.3597
208,南化鄉,128.2178
209,左鎮鄉,138.1003
210,仁德鄉,121.6754
211,歸仁鄉,126.2416
212,關廟鄉,149.7166
213,龍崎鄉,125.8687
214,永康鄉,252.5144
215,鳳山鎮,274.9901
216,林園鄉,259.9242
217,大寮鄉,129.8725
218,大樹鄉,218.7249
219,大社鄉,133.9637
220,仁武鄉,456.2709
221,鳥松鄉,195.5871
222,岡山鎮,177.5405
223,橋頭鄉,164.0273
224,燕巢鄉,350.117
225,田寮鄉,147.3018
226,阿蓮鄉,173.7637
227,路竹鄉,118.9633
228,湖內鄉,127.9707
229,茄萣鄉,125.6258
230,永安鄉,133.1638
231,彌陀鄉,141.4079
232,梓官鄉,135.0675
233,旗山鎮,167.8186
234,美濃鎮,122.5932
235,六龜鄉,151.0689
236,甲仙鄉,161.4958
237,杉林鄉,128.2776
238,內門鄉,121.6694
239,茂林鄉,172.0588
240,桃源鄉,161.4583
241,三民鄉,126.9841
242,屏東市,171.8946
243,潮州鎮,168.8926
244,東港鎮,142.1131
245,恆春鎮,184.6047
246,萬丹鄉,123.9383
247,長治鄉,161.0979
248,麟洛鄉,138.159
249,九如鄉,131.2656
250,里港鄉,119.3755
251,鹽埔鄉,125.3196
252,高樹鄉,139.2846
253,萬巒鄉,129.7803
254,內埔鄉,234.5065
255,竹田鄉,125.2963
256,新埤鄉,142.6859
257,枋寮鄉,178.1374
258,新園鄉,136.0076
259,崁頂鄉,128.2594
260,林邊鄉,123.1963
261,南州鄉,115.0112
262,佳冬鄉,129.4991
263,琉球鄉,259.2777
264,車城鄉,181.1541
265,滿州鄉,172.5646
266,枋山鄉,176.0753
267,三地鄉,141.0377
268,霧臺鄉,174.7706
269,瑪家鄉,317.8423
270,泰武鄉,158.2031
271,來義鄉,178.66
272,春日鄉,185.5513
273,獅子鄉,192
274,牡丹鄉,151.6575
275,臺東鎮,142.6816
276,成功鎮,158.0685
277,關山鎮,154.8363
278,卑南鄉,236.9231
279,鹿野鄉,183.6105
280,池上鄉,183.1187
281,東河鄉,223.7175
282,長濱鄉,138.8471
283,太麻里鄉,176.8196
284,大武鄉,196.1603
285,綠島鄉,412.4031
286,海端鄉,111.6618
287,延平鄉,128.4091
288,金峰鄉,134.2391
289,達仁鄉,157.1429
290,蘭嶼鄉,506.5217
291,花蓮市,198.7362
292,鳳林鎮,253.9272
293,玉里鎮,240.2648
294,新城鄉,347.7642
295,吉安鄉,214.4547
296,壽豐鄉,194.873
297,光復鄉,150.8604
298,豐濱鄉,281.9231
299,瑞穗鄉,139.3312
300,富里鄉,148.7836
301,秀林鄉,177.5956
302,萬榮鄉,124.4399
303,卓溪鄉,210.8511
304,馬公鎮,327.6724
305,湖西鄉,386.5058
306,白沙鄉,235.799
307,西嶼鄉,251.0271
308,望安鄉,143.568
309,七美鄉,113.089
310,中正區,219.3306
311,七堵區,162.5762
312,暖暖區,153.1569
313,仁愛區,144.0566
314,中山區,226.2743
315,安樂區,155.4571
316,信義區,146.1708
317,新竹市,191.7256
318,香山鄉,149.6668
319,中區,116.7825
320,東區,161.8608
321,南區,127.703
322,西區,147.4552
323,北區,135.8052
324,西屯區,169.9895
325,南屯區,121.8882
326,北屯區,141.2883
327,嘉義市,135.2104
328,東區,181.6109
329,南區,156.3255
330,西區,118.1777
331,北區,175.9082
332,中區,130.1583
333,安南區,113.4175
334,安平區,146.8679
335,鹽埕區,134.6394
336,鼓山區,172.8079
337,左營區,440.2033
338,楠梓區,166.6197
339,三民區,149.3156
340,新興區,140.8706
341,前金區,140.9098
342,苓雅區,144.8142
343,前鎮區,158.4786
344,旗津區,209.1068
345,小港鄉,189.2981
346,大安區,192.5523
347,大同區,133.8205
348,松山區,195.8499
349,南港鎮,176.7389
350,內湖鄉,201.1696
351,中山區,162.8473
352,北投鎮,167.664
353,士林鎮,177.2022
354,城中區,227.703
355,延平區,128.1367
356,建成區,124.3495
357,古亭區,174.7215
358,龍山區,133.2149
359,雙園區,149.5056
360,景美鎮,187.1852
361,木柵鄉,186.9801
