town,tran
板橋鎮,4.7700
三重市,7.4700
中和鄉,6.1600
永和鎮,9.2100
新莊鎮,3.7400
新店鎮,5.2900
樹林鎮,5.0700
鶯歌鎮,3.9600
三峽鎮,2.4500
淡水鎮,4.2700
汐止鎮,6.0900
瑞芳鎮,2.9600
土城鄉,1.6700
蘆洲鄉,2.8700
五股鄉,2.1700
泰山鄉,2.3400
林口鄉,1.5300
深坑鄉,5.3100
石碇鄉,2.9900
坪林鄉,1.5700
三芝鄉,1.8800
石門鄉,1.0200
八里鄉,1.2900
平溪鄉,1.9400
雙溪鄉,3.1500
貢寮鄉,2.7400
金山鄉,2.9800
萬里鄉,1.8100
烏來鄉,5.8600
宜蘭市,5.0300
羅東鎮,5.6700
頭城鎮,6.6000
蘇澳鎮,2.8000
礁溪鄉,2.0800
壯圍鄉,0.5200
員山鄉,1.0400
冬山鄉,2.7800
五結鄉,3.1900
三星鄉,1.2900
大同鄉,1.4700
南澳鄉,2.3200
桃園鎮,5.7200
中壢鎮,4.0900
大溪鎮,2.0900
楊梅鎮,4.7800
蘆竹鄉,1.0700
大園鄉,1.1700
龜山鄉,1.9500
八德鄉,1.1000
龍潭鄉,1.8100
平鎮鄉,3.5300
新屋鄉,1.8700
觀音鄉,1.3100
復興鄉,1.3800
竹北鄉,3.0000
竹東鎮,5.6700
新埔鎮,3.0000
關西鎮,2.0500
湖口鄉,2.7700
新豐鄉,1.9200
芎林鄉,1.8400
橫山鄉,3.1600
北埔鄉,2.2500
寶山鄉,0.7400
峨眉鄉,1.5500
尖石鄉,1.2700
五峰鄉,0.7900
苗栗鎮,6.6600
苑裡鎮,1.5700
通霄鎮,1.4100
竹南鎮,6.5200
頭份鎮,4.6700
後龍鎮,4.0400
卓蘭鎮,1.4900
大湖鄉,2.0200
公館鄉,1.9000
銅鑼鄉,2.8700
南庄鄉,2.8100
頭屋鄉,1.7600
三義鄉,3.0600
西湖鄉,2.2700
造橋鄉,3.1700
三灣鄉,1.6700
獅潭鄉,0.8300
泰安鄉,0.5400
豐原鎮,4.7400
東勢鎮,3.6000
大甲鎮,3.0000
清水鎮,1.9700
沙鹿鎮,2.3800
梧棲鎮,1.5500
后里鄉,2.0000
神岡鄉,1.4300
潭子鄉,2.7400
大雅鄉,0.6000
新社鄉,1.1600
石岡鄉,4.8900
外埔鄉,0.9100
大安鄉,0.6100
烏日鄉,2.0800
大肚鄉,2.5200
龍井鄉,2.4800
霧峰鄉,1.8300
太平鄉,1.2000
大里鄉,2.6800
和平鄉,1.4600
彰化市,5.2400
鹿港鎮,1.8100
和美鎮,2.1100
線西鄉,0.7900
伸港鄉,0.7600
福興鄉,0.7500
秀水鄉,1.5100
花壇鄉,3.7100
芬園鄉,1.2700
員林鎮,3.8300
溪湖鎮,2.7500
田中鎮,4.4900
大村鄉,1.3500
埔鹽鄉,1.1000
埔心鄉,1.6200
永靖鄉,1.6500
社頭鄉,2.3300
二水鄉,7.8000
北斗鎮,4.0800
二林鎮,1.0400
田尾鄉,1.1600
埤頭鄉,0.6900
芳苑鄉,0.5600
大城鄉,0.3700
竹塘鄉,0.6600
溪州鄉,1.1300
南投鎮,2.7600
埔里鎮,2.9700
草屯鎮,2.4100
竹山鎮,2.2800
集集鎮,3.7800
名間鄉,2.1600
鹿谷鄉,1.7200
中寮鄉,0.4400
魚池鄉,2.0500
國姓鄉,0.9300
水里鄉,4.5200
信義鄉,0.1900
仁愛鄉,0.3800
斗六鎮,2.9200
斗南鎮,2.8200
虎尾鎮,3.6400
西螺鎮,1.6900
土庫鎮,0.9000
北港鎮,3.2100
古坑鄉,0.9000
大埤鄉,0.5100
莿桐鄉,0.7400
林內鄉,1.9700
二崙鄉,0.5100
崙背鄉,0.4600
麥寮鄉,0.3900
東勢鄉,0.1900
褒忠鄉,0.7800
臺西鄉,0.3300
元長鄉,0.2800
四湖鄉,0.1700
口湖鄉,0.3500
水林鄉,0.3000
太保市,0.4800
朴子鎮,2.3300
布袋鎮,1.0100
大林鎮,2.1500
民雄鄉,1.6300
溪口鄉,0.7100
新港鄉,1.0100
六腳鄉,0.9900
東石鄉,0.8600
義竹鄉,1.4100
鹿草鄉,0.4900
水上鄉,1.2500
中埔鄉,0.8700
竹崎鄉,1.4900
梅山鄉,2.3900
番路鄉,1.9400
大埔鄉,0.8700
吳鳳鄉,2.7500
新營鎮,4.2800
鹽水鎮,1.9300
白河鎮,1.6400
柳營鄉,1.1200
後壁鄉,1.9300
東山鄉,1.1400
麻豆鎮,2.4400
下營鄉,0.9000
六甲鄉,2.1900
官田鄉,1.5000
大內鄉,1.3300
佳里鎮,3.0900
學甲鄉,1.0000
西港鄉,1.6700
七股鄉,2.4800
將軍鄉,1.1100
北門鄉,1.5400
新化鎮,1.0400
善化鎮,2.8400
新市鄉,1.3800
安定鄉,0.8600
山上鄉,1.2700
玉井鄉,2.0300
楠西鄉,0.6700
南化鄉,0.4500
左鎮鄉,0.9600
仁德鄉,1.9700
歸仁鄉,2.4700
關廟鄉,1.2500
龍崎鄉,0.8300
永康鄉,2.0900
鳳山鎮,4.0400
林園鄉,1.1400
大寮鄉,1.7200
大樹鄉,2.3800
大社鄉,1.1600
仁武鄉,0.8600
鳥松鄉,2.0500
岡山鎮,3.2000
橋頭鄉,3.0500
燕巢鄉,0.5300
田寮鄉,1.1300
阿蓮鄉,1.1700
路竹鄉,5.0600
湖內鄉,2.3300
茄萣鄉,1.4800
永安鄉,1.4700
彌陀鄉,2.0400
梓官鄉,1.3500
旗山鎮,2.5700
美濃鎮,1.6000
六龜鄉,0.9800
甲仙鄉,1.4300
杉林鄉,0.7100
內門鄉,0.5300
茂林鄉,0.2000
桃源鄉,0.0600
三民鄉,0.1100
屏東市,4.4400
潮州鎮,3.4600
東港鎮,2.9800
恆春鎮,1.8100
萬丹鄉,1.2200
長治鄉,1.7000
麟洛鄉,2.7500
九如鄉,0.8700
里港鄉,1.4400
鹽埔鄉,0.3900
高樹鄉,1.0700
萬巒鄉,1.1700
內埔鄉,1.4700
竹田鄉,2.4000
新埤鄉,0.8400
枋寮鄉,3.1000
新園鄉,0.5400
崁頂鄉,1.1500
林邊鄉,3.4900
南州鄉,2.7400
佳冬鄉,1.6000
琉球鄉,1.5200
車城鄉,1.4500
滿州鄉,1.1800
枋山鄉,1.5700
三地鄉,0.0700
霧臺鄉,0.0000
瑪家鄉,0.2300
泰武鄉,0.1800
來義鄉,0.0000
春日鄉,0.1000
獅子鄉,0.4800
牡丹鄉,0.2400
臺東鎮,5.2900
成功鎮,1.1200
關山鎮,2.1700
卑南鄉,0.8900
鹿野鄉,1.1600
池上鄉,1.2600
東河鄉,0.4900
長濱鄉,0.4300
太麻里鄉,0.6300
大武鄉,1.2400
綠島鄉,0.9300
海端鄉,0.1500
延平鄉,0.0000
金峰鄉,0.2500
達仁鄉,0.0600
蘭嶼鄉,0.2800
花蓮市,8.3300
鳳林鎮,1.8900
玉里鎮,2.6900
新城鄉,1.8000
吉安鄉,2.9700
壽豐鄉,1.4100
光復鄉,2.0900
豐濱鄉,0.5200
瑞穗鄉,1.7500
富里鄉,1.6800
秀林鄉,1.0800
萬榮鄉,0.1700
卓溪鄉,0.3200
馬公鎮,2.5500
湖西鄉,0.6100
白沙鄉,0.9200
西嶼鄉,0.7600
望安鄉,0.7800
七美鄉,0.9300
中正區,12.7300
七堵區,5.9600
暖暖區,11.5800
仁愛區,17.6400
中山區,26.1800
安樂區,20.2500
信義區,20.9500
新竹市,4.6700
香山鄉,2.8200
中區,5.1700
東區,8.1400
南區,7.7900
西區,6.8800
北區,5.7800
西屯區,1.2100
南屯區,1.9400
北屯區,2.1300
嘉義市,5.8800
東區,4.9300
南區,5.6700
西區,6.1900
北區,8.5300
中區,7.0500
安南區,1.0900
安平區,3.5800
鹽埕區,18.2500
鼓山區,11.8700
左營區,2.8800
楠梓區,4.3200
三民區,10.5600
新興區,12.0100
前金區,13.9900
苓雅區,12.8400
前鎮區,5.2400
旗津區,7.7400
小港鄉,1.9400
大安區,9.9600
大同區,6.7700
松山區,7.2300
南港鎮,5.1900
內湖鄉,3.6800
中山區,9.4800
北投鎮,5.1700
士林鎮,5.3500
城中區,7.3100
延平區,7.7100
建成區,6.3500
古亭區,9.8500
龍山區,6.7600
雙園區,9.3400
景美鎮,7.9800
木柵鄉,5.2300
