OBJECTID,town,old
1,板橋市,0.024
2,三重市,0.0243
3,永和市,0.0315
4,中和市,0.0249
5,新莊市,0.0185
6,新店市,0.0403
7,樹林鎮,0.0292
8,鶯歌鎮,0.0333
9,三峽鎮,0.0459
10,淡水鎮,0.0387
11,汐止鎮,0.0357
12,瑞芳鎮,0.0409
13,土城鄉,0.0298
14,蘆洲鄉,0.0274
15,五股鄉,0.0303
16,泰山鄉,0.022
17,林口鄉,0.0389
18,深坑鄉,0.0438
19,石碇鄉,0.0618
20,坪林鄉,0.066
21,三芝鄉,0.0584
22,石門鄉,0.0569
23,八里鄉,0.053
24,平溪鄉,0.0496
25,雙溪鄉,0.0507
26,貢寮鄉,0.053
27,金山鄉,0.0473
28,萬里鄉,0.0574
29,烏來鄉,0.0342
30,宜蘭市,0.0466
31,羅東鎮,0.0425
32,蘇澳鎮,0.0411
33,頭城鎮,0.0481
34,礁溪鄉,0.0488
35,壯圍鄉,0.0508
36,員山鄉,0.053
37,冬山鄉,0.0446
38,五結鄉,0.0496
39,三星鄉,0.0584
40,大同鄉,0.0401
41,南澳鄉,0.0416
42,桃園市,0.0289
43,中壢市,0.0272
44,大溪鎮,0.0426
45,楊梅鎮,0.0388
46,蘆竹鄉,0.0377
47,大園鄉,0.0414
48,龜山鄉,0.0275
49,八德鄉,0.0557
50,龍潭鄉,0.0372
51,平鎮鄉,0.029
52,新屋鄉,0.0525
53,觀音鄉,0.0521
54,復興鄉,0.0386
55,新竹市,0.0407
56,關西鎮,0.0632
57,新埔鎮,0.0601
58,竹東鎮,0.0443
59,香山鄉,0.0411
60,竹北鄉,0.0387
61,湖口鄉,0.0427
62,橫山鄉,0.0593
63,新豐鄉,0.0441
64,芎林鄉,0.0617
65,寶山鄉,0.0628
66,北埔鄉,0.0623
67,峨眉鄉,0.0726
68,尖石鄉,0.0329
69,五峰鄉,0.0343
70,苗栗鎮,0.0462
71,苑裡鎮,0.0521
72,通霄鎮,0.0544
73,竹南鎮,0.041
74,頭份鎮,0.0459
75,後龍鎮,0.0571
76,卓蘭鎮,0.0527
77,大湖鄉,0.0575
78,公館鄉,0.0621
79,銅鑼鄉,0.0607
80,南庄鄉,0.0571
81,頭屋鄉,0.0597
82,三義鄉,0.0532
83,西湖鄉,0.0682
84,造橋鄉,0.0503
85,三灣鄉,0.0602
86,獅潭鄉,0.0644
87,泰安鄉,0.0531
88,豐原市,0.0344
89,東勢鎮,0.0474
90,大甲鎮,0.0428
91,清水鎮,0.0402
92,沙鹿鎮,0.0341
93,梧棲鎮,0.041
94,后里鄉,0.0446
95,神岡鄉,0.0416
96,潭子鄉,0.0322
97,大雅鄉,0.0325
98,新社鄉,0.0517
99,石岡鄉,0.0569
100,外埔鄉,0.0427
101,大安鄉,0.0486
102,烏日鄉,0.0329
103,大肚鄉,0.0404
104,龍井鄉,0.0384
105,霧峰鄉,0.0402
106,太平鄉,0.0251
107,大里鄉,0.028
108,和平鄉,0.0455
109,彰化市,0.0349
110,鹿港鎮,0.049
111,和美鎮,0.0396
112,北斗鎮,0.0532
113,員林鎮,0.036
114,溪湖鎮,0.0468
115,田中鎮,0.0813
116,二林鎮,0.0459
117,線西鄉,0.0442
118,伸港鄉,0.0428
119,福興鄉,0.0498
120,秀水鄉,0.0463
121,花壇鄉,0.0424
122,芬園鄉,0.0523
123,大村鄉,0.0471
124,埔鹽鄉,0.0525
125,埔心鄉,0.0507
126,永靖鄉,0.05
127,社頭鄉,0.0469
128,二水鄉,0.0547
129,田尾鄉,0.0583
130,埤頭鄉,0.0532
131,芳苑鄉,0.0527
132,大城鄉,0.051
133,竹塘鄉,0.0498
134,溪州鄉,0.0512
135,南投鎮,0.0467
136,埔里鎮,0.045
137,草屯鎮,0.0444
138,竹山鎮,0.0477
139,集集鎮,0.0609
140,名間鄉,0.0577
141,鹿谷鄉,0.0519
142,中寮鄉,0.0498
143,魚池鄉,0.0566
144,國姓鄉,0.0466
145,水里鄉,0.0445
146,信義鄉,0.0417
147,仁愛鄉,0.0423
148,斗六鎮,0.0568
149,斗南鎮,0.0496
150,虎尾鎮,0.0467
151,西螺鎮,0.0483
152,土庫鎮,0.0518
153,北港鎮,0.0499
154,古坑鄉,0.0534
155,大埤鄉,0.0573
156,莿桐鄉,0.0455
157,林內鄉,0.0453
158,二崙鄉,0.0473
159,崙背鄉,0.0458
160,麥寮鄉,0.0409
161,東勢鄉,0.0505
162,褒忠鄉,0.0502
163,臺西鄉,0.0508
164,元長鄉,0.059
165,四湖鄉,0.0523
166,口湖鄉,0.0523
167,水林鄉,0.0613
168,嘉義市,0.0397
169,朴子鎮,0.0602
170,布袋鎮,0.0488
171,大林鎮,0.0532
172,民雄鄉,0.0467
173,溪口鄉,0.0624
174,新港鄉,0.0582
175,六腳鄉,0.073
176,東石鄉,0.0612
177,義竹鄉,0.0602
178,鹿草鄉,0.0676
179,太保鄉,0.0533
180,水上鄉,0.0452
181,中埔鄉,0.0427
182,竹崎鄉,0.0479
183,梅山鄉,0.0515
184,番路鄉,0.052
185,大埔鄉,0.0485
186,吳鳳鄉,0.0403
187,新營鎮,0.0447
188,鹽水鎮,0.06
189,白河鎮,0.086
190,麻豆鎮,0.0667
191,佳里鎮,0.0578
192,新化鎮,0.048
193,善化鎮,0.0569
194,學甲鎮,0.0444
195,柳營鄉,0.0549
196,後壁鄉,0.0641
197,東山鄉,0.0552
198,下營鄉,0.0571
199,六甲鄉,0.0505
200,官田鄉,0.0431
201,大內鄉,0.0684
202,西港鄉,0.064
203,七股鄉,0.0694
204,將軍鄉,0.0805
205,北門鄉,0.0393
206,新市鄉,0.0501
207,安定鄉,0.0659
208,山上鄉,0.0719
209,玉井鄉,0.0531
210,楠西鄉,0.0452
211,南化鄉,0.0634
212,左鎮鄉,0.0754
213,仁德鄉,0.038
214,歸仁鄉,0.0485
215,關廟鄉,0.0473
216,龍崎鄉,0.0662
217,永康鄉,0.0359
218,鳳山市,0.0225
219,岡山鎮,0.0387
220,旗山鎮,0.0495
221,美濃鎮,0.0504
222,林園鄉,0.0363
223,大寮鄉,0.03
224,大樹鄉,0.0396
225,仁武鄉,0.0279
226,大社鄉,0.0346
227,鳥松鄉,0.0345
228,橋頭鄉,0.0436
229,燕巢鄉,0.1106
230,田寮鄉,0.0666
231,阿蓮鄉,0.043
232,路竹鄉,0.0415
233,湖內鄉,0.0477
234,茄萣鄉,0.0429
235,永安鄉,0.0452
236,彌陀鄉,0.0502
237,梓官鄉,0.0393
238,六龜鄉,0.0472
239,甲仙鄉,0.0411
240,杉林鄉,0.0427
241,內門鄉,0.0509
242,茂林鄉,0.0366
243,桃源鄉,0.025
244,三民鄉,0.028
245,屏東市,0.0371
246,潮州鎮,0.0354
247,東港鎮,0.0384
248,恆春鎮,0.0437
249,萬丹鄉,0.0402
250,長治鄉,0.0477
251,麟洛鄉,0.0497
252,九如鄉,0.0394
253,里港鄉,0.0447
254,鹽埔鄉,0.0383
255,高樹鄉,0.0502
256,萬巒鄉,0.055
257,內埔鄉,0.0753
258,竹田鄉,0.0562
259,新埤鄉,0.048
260,枋寮鄉,0.0403
261,新園鄉,0.0413
262,崁頂鄉,0.0473
263,林邊鄉,0.0388
264,南州鄉,0.0445
265,佳冬鄉,0.0513
266,琉球鄉,0.0355
267,車城鄉,0.0525
268,滿州鄉,0.0514
269,枋山鄉,0.0501
270,三地門鄉,0.0441
271,霧臺鄉,0.0604
272,瑪家鄉,0.0406
273,泰武鄉,0.0463
274,來義鄉,0.0504
275,春日鄉,0.0474
276,獅子鄉,0.047
277,牡丹鄉,0.0504
278,臺東市,0.0448
279,成功鎮,0.0415
280,關山鎮,0.0485
281,卑南鄉,0.0854
282,大武鄉,0.0402
283,太麻里鄉,0.0362
284,東河鄉,0.0472
285,長濱鄉,0.0511
286,鹿野鄉,0.0494
287,池上鄉,0.0502
288,綠島鄉,0.0397
289,延平鄉,0.0261
290,海端鄉,0.0276
291,達仁鄉,0.0314
292,金峰鄉,0.0313
293,蘭嶼鄉,0.0424
294,花蓮市,0.0538
295,鳳林鎮,0.0648
296,玉里鎮,0.0573
297,新城鄉,0.0426
298,吉安鄉,0.0364
299,壽豐鄉,0.0552
300,光復鄉,0.0524
301,豐濱鄉,0.0403
302,瑞穗鄉,0.0479
303,富里鄉,0.0559
304,秀林鄉,0.0396
305,萬榮鄉,0.0335
306,卓溪鄉,0.0362
307,馬公鎮,0.0452
308,湖西鄉,0.0789
309,白沙鄉,0.0702
310,西嶼鄉,0.0657
311,望安鄉,0.0663
312,七美鄉,0.0628
313,中正區,0.0373
314,七堵區,0.0325
315,暖暖區,0.0421
316,仁愛區,0.0432
317,中山區,0.0411
318,安樂區,0.0461
319,信義區,0.0477
320,中區,0.0345
321,東區,0.0357
322,西區,0.0312
323,南區,0.0331
324,北區,0.0344
325,西屯區,0.0281
326,南屯區,0.0337
327,北屯區,0.0318
328,東區,0.042
329,南區,0.0352
330,西區,0.0412
331,北區,0.0298
332,中區,0.0487
333,安南區,0.0417
334,安平區,0.0429
335,松山區,0.036
336,大安區,0.0432
337,古亭區,0.0434
338,雙園區,0.0324
339,龍山區,0.0425
340,城中區,0.0472
341,建成區,0.0456
342,延平區,0.0451
343,大同區,0.038
344,中山區,0.0351
345,內湖區,0.0331
346,南港區,0.032
347,木柵區,0.0352
348,景美區,0.0316
349,士林區,0.0314
350,北投區,0.0319
351,鹽埕區,0.0356
352,鼓山區,0.0275
353,左營區,0.0319
354,楠梓區,0.0271
355,三民區,0.0214
356,新興區,0.0302
357,前金區,0.0357
358,苓雅區,0.0235
359,前鎮區,0.021
360,旗津區,0.0305
361,小港區,0.028
